#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0211100.1-p1   -           1408 3177at5820           -            625  1.7e-278  923.7  60.4   1   9       2.6   6.2e+02   -3.0   1.8     2    21   129   148   128   161 0.80 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 3177at5820           -            625   1.3e-15   55.4   0.1   1   4     0.033         8    3.3   0.0   111   147    58    93    33    99 0.91 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 3177at5820           -            625   1.3e-15   55.4   0.1   2   4     0.044        11    2.8   0.0   183   208   103   128    98   132 0.88 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 3177at5820           -            625   1.3e-15   55.4   0.1   3   4    0.0019      0.46    7.3   0.0   283   364   148   225   136   229 0.78 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 3177at5820           -            625   1.3e-15   55.4   0.1   4   4   2.7e-12   6.6e-10   36.6   0.1   539   600   369   430   347   442 0.88 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 3177at5820           -            625   9.1e-15   52.6   2.9   1   2   4.8e-06    0.0012   15.9   0.1   279   364   101   179    92   197 0.85 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 3177at5820           -            625   9.1e-15   52.6   2.9   2   2   7.8e-12   1.9e-09   35.1   0.7   540   595   307   362   248   380 0.86 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 3177at5820           -            625   1.2e-14   52.3   0.3   1   3   0.00012      0.03   11.3   0.1   178   215   172   209   137   236 0.84 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 3177at5820           -            625   1.2e-14   52.3   0.3   2   3    0.0019      0.46    7.4   0.0   311   355   254   298   238   315 0.77 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 3177at5820           -            625   1.2e-14   52.3   0.3   3   3   4.7e-10   1.1e-07   29.2   0.0   506   586   591   679   585   688 0.83 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 3177at5820           -            625   5.3e-14   50.1  19.1   1   3     0.074        18    2.1   0.0   176   208   292   324   288   334 0.80 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 3177at5820           -            625   5.3e-14   50.1  19.1   2   3     0.015       3.7    4.4   1.4   328   360   435   469   416   502 0.75 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 3177at5820           -            625   5.3e-14   50.1  19.1   3   3   3.5e-16   8.6e-14   49.4   6.0   471   616   546   678   506   687 0.78 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3177at5820           -            625   5.5e-14   50.0   0.1   1   3       3.7   9.1e+02   -3.5   0.0   183   200   635   652   628   656 0.84 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3177at5820           -            625   5.5e-14   50.0   0.1   2   3   9.6e-05     0.023   11.6   0.0   295   356   700   754   676   763 0.83 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3177at5820           -            625   5.5e-14   50.0   0.1   3   3   6.7e-12   1.6e-09   35.3   0.0   540   597   912   969   863   988 0.86 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 3177at5820           -            625   2.4e-13   47.9   3.1   1   3      0.75   1.8e+02   -1.2   0.0   162   200   649   687   638   693 0.73 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 3177at5820           -            625   2.4e-13   47.9   3.1   2   3   4.2e-05      0.01   12.8   0.1   286   370   731   809   715   826 0.78 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 3177at5820           -            625   2.4e-13   47.9   3.1   3   3   1.3e-11   3.2e-09   34.3   0.1   540   603   934   997   906  1005 0.89 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 3177at5820           -            625   4.4e-13   47.0  13.8   1   2    0.0047       1.1    6.1   0.0   183   251   385   447   351   459 0.77 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 3177at5820           -            625   4.4e-13   47.0  13.8   2   2   1.5e-12   3.7e-10   37.4  11.6   293   603   461   738   450   749 0.74 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 3177at5820           -            625   1.8e-12   45.0   1.9   1   2   0.00093      0.22    8.4   0.6   314   423   303   419   289   447 0.67 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 3177at5820           -            625   1.8e-12   45.0   1.9   2   2   6.7e-12   1.6e-09   35.3   0.0   530   614   479   563   471   571 0.81 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 3177at5820           -            625   2.7e-12   44.4  17.8   1   4      0.36        86   -0.2   0.0   183   200   728   745   721   748 0.87 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 3177at5820           -            625   2.7e-12   44.4  17.8   2   4   8.4e-09     2e-06   25.0   0.1   284   365   779   856   772   873 0.86 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 3177at5820           -            625   2.7e-12   44.4  17.8   3   4   1.7e-09     4e-07   27.4   1.0   533   612   976  1054   970  1062 0.78 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 3177at5820           -            625   2.7e-12   44.4  17.8   4   4       2.7   6.6e+02   -3.1   5.4     5    64  1266  1326  1248  1383 0.71 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 3177at5820           -            625   7.7e-12   43.0   4.1   1   3   6.1e-05     0.015   12.3   0.3   307   411   167   272   160   309 0.66 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 3177at5820           -            625   7.7e-12   43.0   4.1   2   3      0.64   1.5e+02   -1.0   0.3   349   383   273   310   251   325 0.66 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 3177at5820           -            625   7.7e-12   43.0   4.1   3   3   3.8e-10   9.2e-08   29.5   2.6   539   598   349   408   274   423 0.68 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 3177at5820           -            625   8.5e-11   39.5   0.2   1   3     0.093        23    1.8   0.0   183   201   158   176   152   182 0.89 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 3177at5820           -            625   8.5e-11   39.5   0.2   2   3    0.0028      0.68    6.8   0.0   316   362   235   280   226   287 0.85 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 3177at5820           -            625   8.5e-11   39.5   0.2   3   3   2.8e-09   6.8e-07   26.6   0.0   540   592   413   465   402   481 0.85 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 3177at5820           -            625   1.1e-10   39.1   9.5   1   4      0.11        26    1.5   0.0   183   256   171   247   164   252 0.62 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 3177at5820           -            625   1.1e-10   39.1   9.5   2   4   7.1e-07   0.00017   18.7   0.5   285   364   248   320   233   340 0.83 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 3177at5820           -            625   1.1e-10   39.1   9.5   3   4   7.2e-08   1.7e-05   22.0   0.1   540   601   452   513   426   534 0.86 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 3177at5820           -            625   1.1e-10   39.1   9.5   4   4      0.35        84   -0.1   0.8    78   112   627   662   583   680 0.78 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 3177at5820           -            625   1.6e-10   38.6   3.6   1   3     0.076        18    2.1   0.0   183   208   180   205   172   219 0.86 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
