#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0619800.1-p1   -            178 12431at5820          -            150   1.4e-92  305.6   3.9   1   1   6.2e-95   1.8e-92  305.3   3.9     1   150    11   176    11   176 0.96 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463900.1-p1   -            261 12431at5820          -            150   5.5e-08   31.0   0.1   1   1   3.2e-10   9.1e-08   30.3   0.1    10   111    66   181    59   204 0.76 | transcript=PVP01_1463900.1 | gene=PVP01_1463900 | organism=Plasmodium_vivax_P01 | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=PvP01_14_v2:2746065-2747351(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 12431at5820          -            150   1.3e-07   29.8   0.0   1   1   6.5e-10   1.8e-07   29.3   0.0    37   142    45   158     8   165 0.66 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701600.1-p1   -            206 12431at5820          -            150   1.7e-07   29.5   0.8   1   1   8.9e-10   2.5e-07   28.9   0.8     8   146     9   169     1   173 0.72 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 12431at5820          -            150   3.7e-07   28.3   0.8   1   1   1.7e-09   4.9e-07   27.9   0.8     9   142    13   164     7   172 0.69 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 12431at5820          -            150   4.8e-07   28.0   0.0   1   1   2.5e-09   7.2e-07   27.4   0.0    10   147    12   163     7   166 0.73 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256000.1-p1   -            789 12431at5820          -            150   8.4e-07   27.2   0.7   1   1   1.5e-08   4.1e-06   24.9   0.7    34    86    62   115     8   128 0.72 | transcript=PVP01_1256000.1 | gene=PVP01_1256000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2301780-2304149(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12431at5820          -            150   2.7e-06   25.5   0.2   1   1   1.4e-08   3.9e-06   25.0   0.2     9   111    13   127     5   169 0.75 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 12431at5820          -            150     4e-06   25.0   0.0   1   1   2.2e-08   6.4e-06   24.3   0.0     9   131    11   146     6   160 0.76 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417100.1-p1   -            207 12431at5820          -            150   8.2e-06   24.0   0.2   1   1   2.3e-07   6.4e-05   21.1   0.2     9   149    17   185    11   186 0.65 | transcript=PVP01_1417100.1 | gene=PVP01_1417100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_14_v2:749526-750672(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 12431at5820          -            150    0.0004   18.5   5.4   1   2     0.071        20    3.2   0.0     9    58     8    63     3    73 0.74 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 12431at5820          -            150    0.0004   18.5   5.4   2   2   1.4e-05    0.0041   15.2   3.2    46   122   100   178    61   210 0.70 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 12431at5820          -            150   0.00045   18.3   0.1   1   1   2.6e-06   0.00074   17.6   0.1    46   117    54   124    14   159 0.76 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 12431at5820          -            150     0.013   13.6   1.5   1   1   0.00013     0.037   12.1   1.5    41   119   317   395   296   422 0.90 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 12431at5820          -            150     0.013   13.6   0.1   1   1   9.7e-05     0.027   12.5   0.1    10   118   593   709   586   722 0.76 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12431at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12431at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12431at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:50 2026
# [ok]
