#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0730500.1-p1   -            282 10420at5820          -            239  1.2e-147  488.6  17.3   1   1  3.3e-150  2.4e-147  487.7  17.3     1   239    20   278    20   278 0.94 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10420at5820          -            239   2.7e-05   22.6   4.6   2   2   2.9e-05     0.021   13.1   0.3   104   204    94   195    82   205 0.74 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 10420at5820          -            239   0.00021   19.7   3.9   1   2   1.2e-05    0.0086   14.4   0.4     7    70    35    98    30   105 0.86 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 10420at5820          -            239   0.00021   19.7   3.9   2   2    0.0024       1.7    6.8   0.3   117   209   111   207    89   214 0.75 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10420at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10420at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10420at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:05 2026
# [ok]
