#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   1   6         0         0 1485.6   4.0     1   621     1   633     1   693 0.96 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 279at5820            -           1909  1.6e-140  468.5  22.5   1   6   7.6e-11   1.2e-07   27.8   2.3    17   120    12   119     5   154 0.79 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 279at5820            -           1909  1.6e-140  468.5  22.5   2   6   7.8e-50   1.3e-46  157.1   0.5   317   584   560   836   535   840 0.84 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 279at5820            -           1909  1.6e-140  468.5  22.5   3   6   1.4e-13   2.4e-10   36.8   0.0   591   726   930  1072   920  1086 0.79 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 279at5820            -           1909  1.6e-140  468.5  22.5   4   6   2.5e-45   4.1e-42  142.2   0.2   795   929  1552  1687  1522  1709 0.90 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 279at5820            -           1909  1.6e-140  468.5  22.5   5   6   6.7e-21   1.1e-17   61.1   0.0  1132  1196  1816  1878  1804  1923 0.87 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 279at5820            -           1909  1.6e-140  468.5  22.5   6   6   1.5e-18   2.5e-15   53.3   0.4  1419  1561  2591  2734  2568  2738 0.91 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04200.1-p1  -            573 279at5820            -           1909   5.3e-11   39.0   0.7   1   3         4   6.5e+03  -12.4  12.8   950  1013   144   216   130   242 0.66 | transcript=PVP01_API04200.1 | gene=PVP01_API04200 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=PvP01_API_v2:17469-19190(-) | protein_length=573 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04200.1-p1  -            573 279at5820            -           1909   5.3e-11   39.0   0.7   2   3   1.7e-09   2.7e-06   23.4   0.1   361   408   326   373   230   391 0.88 | transcript=PVP01_API04200.1 | gene=PVP01_API04200 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=PvP01_API_v2:17469-19190(-) | protein_length=573 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04200.1-p1  -            573 279at5820            -           1909   5.3e-11   39.0   0.7   3   3   3.2e-09   5.2e-06   22.4   0.1   468   562   409   503   381   520 0.83 | transcript=PVP01_API04200.1 | gene=PVP01_API04200 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=PvP01_API_v2:17469-19190(-) | protein_length=573 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/279at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/279at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/279at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:49 2026
# [ok]
