#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0305300.1-p1   -            756 6055at5820           -            595  5.5e-227  753.5  58.0   1   1    7e-223  2.1e-220  731.7  58.0     1   594     1   750     1   751 0.82 | transcript=PVP01_0305300.1 | gene=PVP01_0305300 | organism=Plasmodium_vivax_P01 | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=PvP01_03_v2:282744-285506(-) | protein_length=756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0532200.1-p1   -            289 6055at5820           -            595         1    6.2  17.0   1   1    0.0048       1.4    5.7  17.0   307   416    50   160    37   199 0.30 | transcript=PVP01_0532200.1 | gene=PVP01_0532200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1356103-1357108(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 6055at5820           -            595       1.1    6.1  35.2   1   2    0.0051       1.5    5.7   7.6   272   360    49   135     1   187 0.51 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 6055at5820           -            595       1.1    6.1  35.2   2   2    0.0025      0.75    6.7  19.5   279   366   233   319   209   356 0.49 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 6055at5820           -            595       1.1    6.1  37.3   1   1     0.007       2.1    5.2  37.3   297   426    95   222    74   253 0.58 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1402200.1-p1   -            387 6055at5820           -            595       1.8    5.4  27.9   1   1     0.012       3.5    4.5  27.9   302   422    86   205    35   255 0.42 | transcript=PVP01_1402200.1 | gene=PVP01_1402200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_14_v2:100526-102026(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451300.1-p1   -            166 6055at5820           -            595         2    5.3  14.6   1   1    0.0077       2.3    5.1  14.6   278   412    10   143     1   160 0.48 | transcript=PVP01_1451300.1 | gene=PVP01_1451300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2225634-2226134(+) | protein_length=166 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 6055at5820           -            595       2.2    5.1  27.7   1   2   0.00058      0.17    8.8  22.2   294   358   101   158    84   179 0.32 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 6055at5820           -            595       2.2    5.1  27.7   2   2      0.59   1.8e+02   -1.2   0.2   284   308   281   300   235   310 0.47 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 6055at5820           -            595       2.3    5.0  23.0   1   1     0.013       3.9    4.3  23.0   315   425    83   205    39   243 0.37 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0106500.1-p1   -            162 6055at5820           -            595       2.3    5.0  11.6   1   1    0.0088       2.6    4.9  11.6   303   359     5    63     1   112 0.40 | transcript=PVP01_0106500.1 | gene=PVP01_0106500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 11, putative | transcript_product=apicomplexan kinetochore protein 11, putative | location=PvP01_01_v2:338072-338769(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111100.1-p1   -            283 6055at5820           -            595       2.6    4.9  29.7   1   1     0.011       3.3    4.6  29.7   284   416    84   221    41   272 0.48 | transcript=PVP01_0111100.1 | gene=PVP01_0111100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:522872-523723(-) | protein_length=283 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 6055at5820           -            595       3.6    4.4  32.7   1   1     0.022       6.4    3.6  32.7   285   386   158   263   100   279 0.40 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531900.1-p1   -            297 6055at5820           -            595       5.2    3.9  32.5   1   1     0.032       9.5    3.0  32.5   287   421    97   246    72   257 0.34 | transcript=PVP01_0531900.1 | gene=PVP01_0531900 | organism=Plasmodium_vivax_P01 | gene_product=apical asparagine-rich protein AARP | transcript_product=apical asparagine-rich protein AARP | location=PvP01_05_v2:1343678-1344571(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218000.1-p1   -            139 6055at5820           -            595       5.3    3.9  33.9   1   1      0.02         6    3.7  33.9   299   361    75   136    54   139 0.52 | transcript=PVP01_1218000.1 | gene=PVP01_1218000 | organism=Plasmodium_vivax_P01 | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=PvP01_12_v2:750454-750873(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 6055at5820           -            595       5.9    3.7  20.6   1   1     0.021       6.2    3.6  20.6   304   378    16    85     1   113 0.33 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6055at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:54 2026
# [ok]
