#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   1  15   1.7e-66   1.1e-62  210.5   0.1     3   126     9   146     7   151 0.93 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4  12  15   2.7e-23   1.7e-19   67.3   0.0   987  1042  1958  2013  1949  2020 0.93 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4  13  15   1.6e-91     1e-87  293.4   0.3  1048  1241  2084  2284  2066  2299 0.91 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4  14  15   1.4e-64   9.4e-61  204.1   0.3  1247  1373  2362  2490  2359  2495 0.96 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4  15  15   2.3e-77   1.5e-73  246.5   4.6  1373  1530  2565  2741  2558  2741 0.89 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:45 2026
# [ok]
