#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1416000.1-p1   -            368 7744at5820           -            303  1.2e-176  584.8  26.9   1   1  3.2e-177  3.4e-175  580.0  26.9     2   302    13   361    12   362 0.94 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 7744at5820           -            303   2.3e-31  107.6   0.1   2   2   0.00049     0.052   11.3   0.0   263   303   376   416   364   416 0.84 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 7744at5820           -            303   8.2e-29   99.3   1.5   1   2   1.7e-30   1.8e-28   98.1   0.9    64   274    11   223     6   227 0.80 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 7744at5820           -            303   8.2e-29   99.3   1.5   2   2       2.7   2.9e+02   -1.0   0.0   271   300   238   267   233   270 0.85 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 7744at5820           -            303     2e-28   98.0   0.0   1   2   1.3e-27   1.4e-25   88.7   0.0    68   263     7   201     1   212 0.85 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 7744at5820           -            303     2e-28   98.0   0.0   2   2    0.0071      0.76    7.5   0.0   271   302   253   284   241   285 0.87 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 7744at5820           -            303   5.4e-27   93.3  14.9   1   1   3.8e-26   4.1e-24   83.9  14.9    60   302    38   309    19   310 0.72 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 7744at5820           -            303   1.2e-26   92.2  10.4   1   1   1.6e-28   1.7e-26   91.7  10.4    64   276    21   234     3   280 0.87 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 7744at5820           -            303   1.2e-26   92.2   2.3   1   1   1.7e-28   1.8e-26   91.6   2.3    63   278  1331  1559  1326  1580 0.87 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 7744at5820           -            303   2.9e-26   90.9   2.9   1   1   4.7e-28     5e-26   90.1   2.9    70   301  1192  1438  1177  1440 0.84 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 7744at5820           -            303     4e-26   90.5   5.8   1   1   1.1e-25   1.1e-23   82.4   5.8    58   302   112   401   104   402 0.76 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 7744at5820           -            303   4.1e-26   90.4   0.2   1   1     9e-28   9.6e-26   89.2   0.2    65   265   429   629   423   687 0.89 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 7744at5820           -            303   1.1e-25   89.0   1.7   1   1   1.4e-27   1.5e-25   88.6   1.7    62   299    30   266    24   270 0.88 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 7744at5820           -            303   1.7e-23   81.8   2.6   1   1   2.8e-25     3e-23   81.0   2.6    62   264    17   225    12   267 0.82 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 7744at5820           -            303   2.6e-23   81.2  17.1   1   2       2.5   2.7e+02   -0.9   0.0    17    44   113   141   103   148 0.83 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 7744at5820           -            303   2.6e-23   81.2  17.1   2   2   4.9e-25   5.2e-23   80.2  14.2    61   303  1164  1421  1123  1421 0.77 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 7744at5820           -            303   1.2e-22   79.0   6.4   1   2   3.9e-24   4.2e-22   77.3   2.7    49   267    26   240    11   257 0.82 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 7744at5820           -            303   1.2e-22   79.0   6.4   2   2      0.12        13    3.4   0.1   257   302   282   328   259   329 0.77 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 7744at5820           -            303   1.1e-21   75.9   3.1   1   1   1.9e-23     2e-21   75.0   3.1    62   263   274   480   267   505 0.81 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 7744at5820           -            303   4.3e-21   73.9   1.5   1   1   6.1e-23   6.5e-21   73.4   1.5    66   268   114   321   108   334 0.85 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 7744at5820           -            303   6.7e-21   73.3   2.4   1   3         2   2.1e+02   -0.6   0.2    24    82    66   124    47   140 0.69 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 7744at5820           -            303   6.7e-21   73.3   2.4   2   3      0.25        27    2.4   0.0   158   192   505   540   494   547 0.79 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 7744at5820           -            303   6.7e-21   73.3   2.4   3   3   1.1e-21   1.2e-19   69.3   0.1    67   266   544   740   536   753 0.87 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 7744at5820           -            303   1.2e-20   72.5   2.3   1   1     7e-22   7.4e-20   69.9   2.3    62   271    12   249     9   265 0.80 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 7744at5820           -            303   1.6e-19   68.7   2.8   1   1   2.6e-21   2.8e-19   68.0   2.8    69   271   462   665   451   674 0.80 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7744at5820           -            303   2.3e-19   68.2   7.7   1   2     3e-09   3.2e-07   28.4   5.5    91   194   239   343   231   356 0.88 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7744at5820           -            303   2.3e-19   68.2   7.7   2   2   1.3e-12   1.4e-10   39.4   0.0   199   302   396   510   382   511 0.82 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 7744at5820           -            303   1.3e-18   65.8   8.7   1   2   3.8e-19     4e-17   60.9   6.5    63   218   170   330   155   336 0.84 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 7744at5820           -            303   1.3e-18   65.8   8.7   2   2     0.052       5.6    4.6   0.0   212   253   350   389   347   402 0.82 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 7744at5820           -            303   3.7e-18   64.3   8.5   1   2   4.1e-16   4.3e-14   50.9   7.7    46   219    18   197     6   219 0.83 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 7744at5820           -            303   3.7e-18   64.3   8.5   2   2    0.0007     0.075   10.8   0.0   219   302   345   444   333   445 0.73 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7744at5820           -            303   2.5e-17   61.6   2.2   1   2   0.00074     0.079   10.7   0.5    39   131   621   712   599   716 0.81 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7744at5820           -            303   2.5e-17   61.6   2.2   2   2   7.2e-16   7.7e-14   50.1   0.0   163   271   903  1011   890  1025 0.81 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 7744at5820           -            303   3.5e-17   61.1   2.8   1   1   4.2e-19   4.5e-17   60.7   2.8    65   264     4   205     1   261 0.84 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 7744at5820           -            303   7.4e-17   60.0   4.9   1   2     9e-18   9.6e-16   56.4   3.2    70   264    14   217     6   235 0.81 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 7744at5820           -            303   7.4e-17   60.0   4.9   2   2      0.14        15    3.2   0.0   265   302   255   293   246   294 0.74 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 7744at5820           -            303   2.6e-16   58.3  11.4   1   1   6.9e-18   7.4e-16   56.8  11.4    70   223    15   173     5   227 0.73 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 7744at5820           -            303   1.3e-15   56.0   0.3   1   1   1.8e-17     2e-15   55.4   0.3    65   282    30   258    21   268 0.77 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 7744at5820           -            303   3.2e-15   54.7   0.1   1   1   9.4e-17     1e-14   53.0   0.1   125   255  1490  1631  1477  1693 0.70 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 7744at5820           -            303   9.1e-14   49.9   0.3   1   1   1.5e-15   1.6e-13   49.1   0.3    63   257    75   270    66   282 0.80 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 7744at5820           -            303   9.8e-13   46.5   1.0   1   1   1.6e-14   1.7e-12   45.7   1.0    91   263  1726  1900  1719  1919 0.79 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464600.1-p1   -            730 7744at5820           -            303   1.5e-12   45.9  10.7   1   1   1.5e-14   1.6e-12   45.8   9.0    71   266    30   245    18   293 0.73 | transcript=PVP01_1464600.1 | gene=PVP01_1464600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_14_v2:2767708-2769900(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 7744at5820           -            303   8.9e-12   43.4  12.4   1   2   8.4e-05     0.009   13.8   3.0    62   160   180   271   161   279 0.82 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 7744at5820           -            303   8.9e-12   43.4  12.4   2   2     2e-11   2.1e-09   35.5   0.3   164   259   351   446   341   463 0.83 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 7744at5820           -            303   1.4e-11   42.7   0.0   1   2   6.7e-13   7.2e-11   40.4   0.0   168   265   154   250    73   255 0.88 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
