#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0935500.1-p1   -           1579 813at5820            -           1226         0 2357.7  76.0   1   4         0         0 1238.6  48.5     1   700    64   858    64   871 0.92 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   4   5   7.2e-35   1.6e-31  107.3   0.1   918  1012  1086  1180  1071  1184 0.96 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   5   5   5.6e-35   1.2e-31  107.7   2.6  1044  1214  1185  1341  1178  1346 0.87 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/813at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:10 2026
# [ok]
