#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   1   8  5.6e-101   9.2e-98  326.9   0.4     1   158     1   158     1   178 0.96 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 1791at5820           -            805   1.5e-32  111.3  19.5   4   4   1.6e-06    0.0026   14.5   7.4   668   768   281   378   272   421 0.79 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807900.1-p1   -            407 1791at5820           -            805   1.1e-16   58.7  19.0   1   2   9.1e-05      0.15    8.7   3.5    20    98    25   102     1   138 0.74 | transcript=PVP01_0807900.1 | gene=PVP01_0807900 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease, putative | transcript_product=flap endonuclease, putative | location=PvP01_08_v2:357474-358697(-) | protein_length=407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807900.1-p1   -            407 1791at5820           -            805   1.1e-16   58.7  19.0   2   2   4.3e-19   7.1e-16   56.1   7.6   507   635   233   359   204   392 0.86 | transcript=PVP01_0807900.1 | gene=PVP01_0807900 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease, putative | transcript_product=flap endonuclease, putative | location=PvP01_08_v2:357474-358697(-) | protein_length=407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 1791at5820           -            805   1.2e-09   35.4  11.1   1   3   1.3e-05     0.021   11.5   1.2    71   139    71   135    57   158 0.78 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 1791at5820           -            805   1.2e-09   35.4  11.1   2   3   1.4e-08   2.3e-05   21.3   0.8   513   570   156   213   141   225 0.81 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 1791at5820           -            805   1.2e-09   35.4  11.1   3   3   0.00019      0.31    7.6   0.1   598   637   344   385   331   456 0.72 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1791at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1791at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1791at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:40 2026
# [ok]
