#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1270100.1-p1   -            928 3557at5820           -            694         0 1100.3  77.9   1   3   3.2e-85   3.4e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 3557at5820           -            694   1.3e-42  144.8   8.1   1   3     3e-14   3.3e-11   41.0   0.6    10   169   185   355   177   361 0.68 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 3557at5820           -            694   1.3e-42  144.8   8.1   2   3    0.0001      0.11    9.5   0.2   277   328   369   419   365   433 0.86 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 3557at5820           -            694   1.3e-42  144.8   8.1   3   3     2e-31   2.2e-28   97.8   0.1   359   685   478   812   460   820 0.84 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3557at5820           -            694   5.6e-42  142.7  45.0   1   4         6   6.5e+03   -7.1   3.7   195   257    49   114    20   132 0.64 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3557at5820           -            694   5.6e-42  142.7  45.0   2   4   3.5e-12   3.8e-09   34.2   1.8    10   168   395   564   386   568 0.81 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3557at5820           -            694   5.6e-42  142.7  45.0   3   4   1.3e-05     0.014   12.5   0.7   277   329   579   630   575   635 0.89 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3557at5820           -            694   5.6e-42  142.7  45.0   4   4   3.3e-37   3.6e-34  116.9  16.8   358   675   734  1063   717  1083 0.80 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3557at5820           -            694   1.5e-30  105.0  16.0   1   3   6.4e-13     7e-10   36.6   1.5    87   167   111   192   107   195 0.89 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3557at5820           -            694   1.5e-30  105.0  16.0   2   3   1.8e-16   1.9e-13   48.4   0.3   358   533   404   578   387   588 0.84 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3557at5820           -            694   1.5e-30  105.0  16.0   3   3   2.2e-10   2.4e-07   28.2   2.0   537   686   643   800   637   807 0.81 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:25 2026
# [ok]
