#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0931200.1-p1   -            441 6608at5820           -            402  1.9e-275  911.6   5.1   1   1  7.4e-278  2.3e-275  911.3   5.1     1   402    22   441    22   441 0.99 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6608at5820           -            402   1.6e-66  223.6   1.9   1   4   1.5e-10   4.6e-08   31.1   0.1   147   216   344   413   328   429 0.84 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6608at5820           -            402   1.6e-66  223.6   1.9   2   4     2e-12   6.3e-10   37.2   0.2   239   363   496   615   484   638 0.80 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6608at5820           -            402   1.6e-66  223.6   1.9   3   4   5.1e-45   1.6e-42  144.5   0.0   142   331   763   949   752   963 0.94 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6608at5820           -            402   1.6e-66  223.6   1.9   4   4    0.0036       1.1    6.7   0.0   347   376  1094  1123  1081  1133 0.80 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 6608at5820           -            402   2.7e-55  186.6   0.1   1   1   1.5e-57   4.6e-55  185.8   0.1   148   376   160   390   155   407 0.93 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 6608at5820           -            402   4.9e-54  182.4   0.6   1   1   2.9e-56     9e-54  181.6   0.6   141   384   242   481   224   499 0.90 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 6608at5820           -            402     2e-53  180.5   0.2   1   2    0.0003     0.092   10.3   0.0   162   261   223   322   200   393 0.81 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 6608at5820           -            402     2e-53  180.5   0.2   2   2     5e-52   1.6e-49  167.6   0.2   121   379   545   801   534   809 0.94 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 6608at5820           -            402     7e-48  162.2   0.1   1   1     4e-50   1.2e-47  161.3   0.1   146   390   399   650   382   664 0.86 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 6608at5820           -            402   1.9e-35  121.2   0.0   1   2     5e-36   1.5e-33  114.9   0.1   151   372   256   491   235   510 0.83 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 6608at5820           -            402   1.9e-35  121.2   0.0   2   2     0.025       7.8    3.9   0.0   185   219   572   606   555   651 0.82 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 6608at5820           -            402   3.4e-33  113.8   0.0   1   2   2.4e-35   7.4e-33  112.7   0.0   142   330   111   294    94   298 0.88 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 6608at5820           -            402   3.4e-33  113.8   0.0   2   2       3.5   1.1e+03   -3.1   0.0   347   369   329   351   323   356 0.80 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 6608at5820           -            402   2.8e-25   87.8   0.0   1   1   1.5e-27   4.5e-25   87.1   0.0   148   364   423   639   393   649 0.78 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 6608at5820           -            402   7.5e-21   73.2   0.0   1   2   8.7e-17   2.7e-14   51.6   0.0   165   280   578   695   558   708 0.79 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 6608at5820           -            402   7.5e-21   73.2   0.0   2   2     6e-07   0.00019   19.2   0.0   279   332   782   835   762   842 0.82 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 6608at5820           -            402   4.9e-09   34.2   0.0   1   1   4.1e-11   1.3e-08   32.9   0.0   184   329   344   487   336   556 0.74 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 6608at5820           -            402   6.6e-09   33.8   0.0   1   1   3.5e-11   1.1e-08   33.1   0.0   181   341   740   915   736   945 0.73 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 6608at5820           -            402   1.1e-08   33.1   0.0   1   1   5.7e-11   1.8e-08   32.4   0.0   159   329   320   507   313   521 0.78 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 6608at5820           -            402   2.1e-06   25.6   0.0   1   2    0.0022      0.69    7.4   0.0   175   205   246   276   226   293 0.77 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 6608at5820           -            402   2.1e-06   25.6   0.0   2   2   5.8e-06    0.0018   15.9   0.0   275   339   368   429   358   444 0.82 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6608at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:43 2026
# [ok]
