#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   1   7         0         0 1011.2  26.1     1   546     1   573     1   582 0.97 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 1942at5820           -            861     1e-23   82.0  51.0   1   4      0.31   6.7e+02   -3.4   3.5    62   112    75   128    40   158 0.70 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 1942at5820           -            861     1e-23   82.0  51.0   2   4   6.9e-17   1.5e-13   48.4   6.9   127   252   710   853   690   857 0.74 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 1942at5820           -            861     1e-23   82.0  51.0   3   4     6e-15   1.3e-11   41.9  18.7   246   437   981  1187   975  1202 0.61 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 1942at5820           -            861     1e-23   82.0  51.0   4   4   0.00013      0.28    7.8   0.3   431   504  1373  1448  1362  1469 0.78 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1942at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1942at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1942at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:25 2026
# [ok]
