#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1462200.1-p1   -           1103 2216at5820           -            639         0 1235.7  55.1   1   4  6.1e-253    4e-250  830.2  13.5     1   380     6   394     6   405 0.98 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2216at5820           -            639   8.8e-27   92.4  31.8   3   4   6.1e-10     4e-07   27.4   0.9   311   373   512   577   509   621 0.74 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2216at5820           -            639   8.8e-27   92.4  31.8   4   4         1   6.6e+02   -3.0   1.4   474   528   933   987   915   999 0.70 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 2216at5820           -            639   2.6e-25   87.5  25.2   1   6   1.4e-15   8.9e-13   46.1  16.8    32   257   163   414   138   419 0.71 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 2216at5820           -            639   2.6e-25   87.5  25.2   2   6   5.1e-19   3.3e-16   57.4   1.2   257   382   498   624   489   666 0.87 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 2216at5820           -            639   2.6e-25   87.5  25.2   3   6       3.2   2.1e+03   -4.7   0.6   396   459  1209  1273  1205  1275 0.82 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 2216at5820           -            639   2.6e-25   87.5  25.2   4   6        10   6.5e+03  -13.9  13.4   453   515  1460  1522  1367  1572 0.45 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 2216at5820           -            639   2.6e-25   87.5  25.2   5   6      0.62   4.1e+02   -2.3   2.0   192   242  1866  1919  1856  1938 0.75 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 2216at5820           -            639   2.6e-25   87.5  25.2   6   6     0.039        25    1.6   0.8   373   445  3179  3252  3158  3258 0.76 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 2216at5820           -            639   3.4e-24   83.8   7.1   1   2   5.1e-27   3.4e-24   83.8   7.1    75   383    92   445     4   512 0.70 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 2216at5820           -            639   3.4e-24   83.8   7.1   2   2       1.3   8.4e+02   -3.4   0.2   295   320   860   885   835   904 0.44 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 2216at5820           -            639     2e-23   81.2   5.8   1   1     5e-26   3.3e-23   80.6   5.8    75   367   102   402    67   412 0.79 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 2216at5820           -            639   1.6e-15   55.1  41.0   1   2   2.5e-18   1.6e-15   55.1  41.0    29   444     1   464     1   522 0.68 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 2216at5820           -            639   1.6e-15   55.1  41.0   2   2      0.93   6.1e+02   -2.9   0.8   464   488   723   747   682   756 0.53 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2216at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2216at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2216at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:32 2026
# [ok]
