#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1301500.1-p1   -            323 8101at5820           -            292    6e-194  641.4  13.0   1   1  2.5e-196  2.8e-193  639.2  13.0     1   292    14   323    14   323 0.96 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8101at5820           -            292   4.6e-05   21.3  14.1   3   5    0.0066       7.2    4.3   0.1    46   102   203   259   184   275 0.83 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8101at5820           -            292   4.6e-05   21.3  14.1   4   5   0.00063      0.68    7.7   1.0    10   107   288   396   280   434 0.64 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8101at5820           -            292   4.6e-05   21.3  14.1   5   5     4e-06    0.0043   14.9   0.3    33   100   420   492   394   494 0.79 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8101at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8101at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8101at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:02 2026
# [ok]
