#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   1  17   4.3e-83   2.8e-79  265.8   0.3     2   173    46   225    45   234 0.92 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  12  17   4.8e-14   3.1e-10   36.9   0.1   908   946  1502  1540  1498  1547 0.94 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  13  17   1.6e-19     1e-15   55.1   0.0   958  1026  1614  1687  1608  1691 0.92 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  14  17     0.028   1.8e+02   -2.1   0.0  1032  1046  1750  1764  1747  1775 0.86 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  15  17   6.4e-57   4.2e-53  179.0   9.3  1074  1229  1861  2032  1858  2037 0.92 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  16  17   6.9e-41   4.5e-37  125.9   1.1  1228  1321  2135  2229  2133  2235 0.93 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  17  17   5.8e-58   3.8e-54  182.5  11.2  1322  1444  2256  2400  2253  2400 0.87 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:54 2026
# [ok]
