#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1004200.1-p1   -            927 3266at5820           -            679         0 1129.5  73.8   1   3  8.2e-231  1.3e-227  755.9  50.1     6   439    26   496    19   555 0.86 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3266at5820           -            679      0.41    7.4   6.7   2   3    0.0015       2.5    4.8   0.1   250   294   196   240   185   273 0.74 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3266at5820           -            679      0.41    7.4   6.7   3   3     0.084   1.4e+02   -0.9   0.4   105   398   479   544   400   568 0.60 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3266at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:14 2026
# [ok]
