#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1307500.1-p1   -           1539 1149at5820           -            799         0 1365.7 123.6   1   5  2.7e-289    6e-286  949.7  60.4     1   444    66   516    66   560 0.96 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 1149at5820           -            799       1.4    5.9   8.4   2   2   2.2e-05     0.048   10.7   0.5     1    24   116   139   116   142 0.94 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1149at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:16 2026
# [ok]
