#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0837600.1-p1   -           1364 1711at5820           -            877         0 1503.2 139.7   1   5  1.4e-196    1e-193  644.2  53.4     7   381   168   588   166   594 0.93 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   7   7   1.3e-21   9.4e-19   65.3   0.9   748   850  1325  1431  1311  1461 0.82 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 1711at5820           -            877   4.9e-35  119.2  53.0   1   3   7.7e-18   5.6e-15   52.8  29.0    34   314   205   497   176   513 0.82 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 1711at5820           -            877   4.9e-35  119.2  53.0   2   3   1.6e-06    0.0011   15.4   8.5   580   704   551   676   541   681 0.87 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 1711at5820           -            877   4.9e-35  119.2  53.0   3   3   5.5e-21     4e-18   63.2   2.4   748   854   668   778   662   781 0.92 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 1711at5820           -            877   8.5e-33  111.8  35.5   1   3   6.1e-05     0.044   10.1  27.8    43   323   368   663   361   682 0.76 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 1711at5820           -            877   8.5e-33  111.8  35.5   2   3   1.5e-13   1.1e-10   38.6   0.1   579   685   685   790   675   797 0.95 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 1711at5820           -            877   8.5e-33  111.8  35.5   3   3   4.3e-22   3.1e-19   66.9   0.1   748   871   798   922   791   927 0.92 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 1711at5820           -            877     8e-31  105.2  39.0   1   2   1.6e-13   1.2e-10   38.5  19.6    28   327   216   530   191   546 0.74 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 1711at5820           -            877     8e-31  105.2  39.0   2   2   1.1e-23   8.1e-21   72.1  11.4   601   865   614   904   608   914 0.80 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 1711at5820           -            877   7.3e-21   72.3  15.9   1   3       1.2   8.7e+02   -4.1   0.4    92   127   197   232   190   263 0.70 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 1711at5820           -            877   7.3e-21   72.3  15.9   2   3   4.9e-11   3.6e-08   30.3   2.0   585   685   484   587   479   596 0.87 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 1711at5820           -            877   7.3e-21   72.3  15.9   3   3   1.4e-17     1e-14   51.9   1.0   753   864   692   803   672   806 0.92 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 1711at5820           -            877   8.6e-15   52.2  19.2   1   3         9   6.5e+03  -11.4  42.4    40   243   337   558   299   602 0.67 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 1711at5820           -            877   8.6e-15   52.2  19.2   2   3   8.9e-15   6.5e-12   42.7  10.1   599   705   770   871   739   888 0.87 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 1711at5820           -            877   8.6e-15   52.2  19.2   3   3   3.9e-09   2.8e-06   24.0   1.6   776   849   894   967   863   991 0.82 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 1711at5820           -            877   4.4e-08   30.0   0.0   1   3     0.042        30    0.7   0.2   618   705    68   151    36   163 0.73 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 1711at5820           -            877   4.4e-08   30.0   0.0   2   3   6.1e-11   4.4e-08   30.0   0.0   765   863   162   264   130   272 0.80 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 1711at5820           -            877   4.4e-08   30.0   0.0   3   3       7.6   5.5e+03   -6.7   5.9   158   200   531   573   494   604 0.49 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 1711at5820           -            877   1.9e-07   27.9   2.2   1   2    0.0029       2.1    4.6   0.1   600   652   116   170    12   177 0.73 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 1711at5820           -            877   1.9e-07   27.9   2.2   2   2   6.5e-09   4.7e-06   23.3   0.2   775   860   246   334   227   350 0.76 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1711at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1711at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1711at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:16 2026
# [ok]
