#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1142000.1-p1   -           1006 4120at5820           -            764         0 1496.3 127.3   1   5     4e-10   1.6e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 4120at5820           -            764   2.9e-15   53.9   5.2   4   4   2.4e-06   0.00099   15.8   0.6   549   629   973  1050   957  1055 0.91 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 4120at5820           -            764   2.2e-09   34.5   3.0   1   1   9.4e-12   3.9e-09   33.7   3.0   193   317   194   317   188   343 0.75 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 4120at5820           -            764   2.9e-07   27.5   1.3   1   2     0.076        31    0.9   0.0   193   210     6    23     3    53 0.76 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 4120at5820           -            764   2.9e-07   27.5   1.3   2   2   5.2e-09   2.1e-06   24.6   0.4   255   317   127   189   124   200 0.93 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 4120at5820           -            764   3.9e-07   27.1   7.2   1   4   0.00022     0.091    9.3   0.0   188   219    11    44     2   106 0.88 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 4120at5820           -            764   3.9e-07   27.1   7.2   2   4     9e-08   3.7e-05   20.5   0.7   255   325   176   246   167   281 0.85 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 4120at5820           -            764   3.9e-07   27.1   7.2   3   4       1.4   5.7e+02   -3.3   0.1   161   218   679   741   672   743 0.72 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 4120at5820           -            764   3.9e-07   27.1   7.2   4   4       1.4   5.7e+02   -3.2   0.0   311   361  1200  1250  1195  1255 0.88 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 4120at5820           -            764   8.9e-07   25.9   2.1   1   2   2.2e-09   8.9e-07   25.9   2.1   192   318   111   234    97   253 0.80 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 4120at5820           -            764   8.9e-07   25.9   2.1   2   2       0.2        83   -0.5   0.2   417   445   374   402   356   418 0.82 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 4120at5820           -            764   1.5e-06   25.1   3.5   1   2      0.13        54    0.1   0.0   193   211   186   204   131   215 0.89 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 4120at5820           -            764   1.5e-06   25.1   3.5   2   2   1.1e-08   4.5e-06   23.5   2.0   242   348   313   425   274   435 0.86 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 4120at5820           -            764   3.2e-06   24.0   3.9   1   2     8e-09   3.2e-06   24.0   3.9   195   316    17   139     7   152 0.84 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 4120at5820           -            764   3.2e-06   24.0   3.9   2   2       1.2   4.8e+02   -3.0   0.5   371   384   222   235   169   302 0.46 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 4120at5820           -            764   8.3e-06   22.7   0.4   1   1   3.5e-08   1.4e-05   21.9   0.4   194   316    29   152    16   167 0.86 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 4120at5820           -            764   1.3e-05   22.0   0.1   1   1   5.3e-08   2.2e-05   21.3   0.1   194   317    45   177    37   182 0.80 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 4120at5820           -            764     2e-05   21.4   2.4   1   2   5.9e-08   2.4e-05   21.1   0.3   194   317    76   200    67   206 0.75 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 4120at5820           -            764     2e-05   21.4   2.4   2   2      0.22        89   -0.6   0.1   416   456   279   320   271   328 0.87 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 4120at5820           -            764   0.00014   18.6   0.1   1   2   7.7e-06    0.0032   14.1   0.0   255   335    94   174     3   190 0.80 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 4120at5820           -            764   0.00014   18.6   0.1   2   2     0.052        21    1.5   0.0   652   730   735   809   713   822 0.82 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135700.1-p1   -            215 4120at5820           -            764    0.0058   13.3   2.8   1   1   1.6e-05    0.0066   13.1   2.8    36   108    43   115    34   157 0.72 | transcript=PVP01_1135700.1 | gene=PVP01_1135700 | organism=Plasmodium_vivax_P01 | gene_product=50S ribosomal protein L18, apicoplast, putative | transcript_product=50S ribosomal protein L18, apicoplast, putative | location=PvP01_11_v2:1534384-1535224(-) | protein_length=215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0006860.1-p1   -            431 4120at5820           -            764      0.11    9.1   9.9   1   1   0.00036      0.15    8.6   9.9    64   116   228   282   179   309 0.72 | transcript=PVP01_0006860.1 | gene=PVP01_0006860 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_23.final:22507-24055(+) | protein_length=431 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4120at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4120at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4120at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:15 2026
# [ok]
