#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0415800.1-p1   -           2725 179at5820            -           2330         0 3439.1 112.8   1   3         0         0 1442.3  48.5    70  1059   159  1279   138  1292 0.90 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 179at5820            -           2330      0.36    6.0   6.3   1   1   0.00098      0.49    5.5   6.3    64   116  1228  1270  1166  1328 0.55 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 179at5820            -           2330       0.7    5.0  10.5   1   1    0.0015      0.76    4.9  10.5    46   115    56   126    18   137 0.38 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 179at5820            -           2330         7    1.7  18.8   1   2    0.0039         2    3.5  12.4    56   123    91   157    32   184 0.61 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 179at5820            -           2330         7    1.7  18.8   2   2    0.0092       4.6    2.3   0.4  1326  1384   251   309   211   316 0.79 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/179at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/179at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/179at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:42 2026
# [ok]
