#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1441600.1-p1   -           1620 1124at5820           -           1191         0 2191.5 153.0   1   6  4.2e-147    4e-144  480.5  38.9     1   264     1   275     1   301 0.94 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1124at5820           -           1191   2.4e-53  179.8  83.6   1   5     4e-08   3.7e-05   20.2  33.4    50   476    27   502     5   513 0.62 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1124at5820           -           1191   2.4e-53  179.8  83.6   2   5   1.9e-08   1.8e-05   21.3   0.1   477   510   617   650   596   672 0.85 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1124at5820           -           1191   2.4e-53  179.8  83.6   3   5     0.012        11    2.1   0.1   638   700   737   799   724   805 0.90 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1124at5820           -           1191   2.4e-53  179.8  83.6   4   5   1.5e-26   1.4e-23   81.3   4.3   693   869   883  1065   878  1073 0.91 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 1124at5820           -           1191   2.4e-53  179.8  83.6   5   5   1.6e-22   1.5e-19   67.9  21.6   871  1186  1115  1452  1075  1457 0.76 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   1   8   3.1e-13   2.9e-10   37.2   5.7    56   190    86   226    57   275 0.80 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   2   8   1.2e-05     0.011   12.1  15.7   358   476   291   427   285   446 0.74 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   3   8   1.3e-07   0.00012   18.5   0.0   471   514   677   720   663   730 0.88 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   4   8         7   6.5e+03  -12.4  12.0   179   247  1195  1263  1156  1285 0.57 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   5   8   0.00055      0.51    6.5   0.1   625   730  1397  1502  1369  1507 0.77 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   6   8   2.4e-32   2.2e-29  100.5  27.6   737  1177  1645  2118  1632  2134 0.77 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   7   8         7   6.5e+03   -8.7   5.9   202   240  3120  3156  3103  3160 0.81 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1124at5820           -           1191   1.9e-38  130.5  40.8   8   8         7   6.5e+03  -10.6   7.8   435   453  3556  3574  3439  3641 0.48 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   1   7      0.05        46    0.1   1.7   590   620    12    41     2    97 0.68 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   2   7    0.0013       1.2    5.3   0.6    80   182   297   398   280   403 0.78 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   3   7   6.7e-06    0.0063   12.9   0.2   255   316   402   463   397   472 0.93 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   4   7   5.2e-09   4.9e-06   23.2   0.0   353   513   599   762   586   770 0.80 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   5   7      0.17   1.6e+02   -1.7   0.2   560   602   876   910   853   921 0.61 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   6   7   1.4e-07   0.00013   18.5   0.5   703   833  1135  1262  1109  1295 0.83 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238200.1-p1   -           1891 1124at5820           -           1191   3.6e-21   73.3  33.2   7   7   7.5e-12     7e-09   32.6   0.9   874  1026  1497  1654  1474  1725 0.78 | transcript=PVP01_1238200.1 | gene=PVP01_1238200 | organism=Plasmodium_vivax_P01 | gene_product=aminophospholipid transporter, putative | transcript_product=aminophospholipid transporter, putative | location=PvP01_12_v2:1509058-1514934(-) | protein_length=1891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1124at5820           -           1191   1.6e-19   67.8  19.4   1   4   3.4e-05     0.031   10.5   0.3   104   185    90   175    47   191 0.63 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1124at5820           -           1191   1.6e-19   67.8  19.4   2   4   1.4e-05     0.013   11.8   1.4   367   513   211   375   193   384 0.71 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1124at5820           -           1191   1.6e-19   67.8  19.4   3   4   6.1e-12   5.7e-09   32.9   0.4   681   836   627   780   622   787 0.85 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1124at5820           -           1191   1.6e-19   67.8  19.4   4   4   3.9e-09   3.6e-06   23.6   0.5   892   965   839   911   828   947 0.80 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1124at5820           -           1191      0.14    8.4   2.6   1   1    0.0002      0.19    8.0   2.6   542   613   290   360   271   367 0.78 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1124at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1124at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1124at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:51 2026
# [ok]
