#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0811700.1-p1   -            543 6346at5820           -            465  1.3e-238  790.9  76.9   1   1  1.7e-240  2.3e-237  786.8  76.9    13   465    45   543    30   543 0.94 | transcript=PVP01_0811700.1 | gene=PVP01_0811700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:496985-498616(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6346at5820           -            465     0.076   10.3  12.6   3   4    0.0014       1.8    5.8   1.0   194   247   528   582   523   598 0.71 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6346at5820           -            465     0.076   10.3  12.6   4   4      0.14   1.9e+02   -0.9   0.0    25    65   581   620   573   630 0.76 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 6346at5820           -            465       0.4    7.9  63.0   1   3   2.1e-05     0.027   11.8   4.6   152   232   155   234   126   246 0.81 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 6346at5820           -            465       0.4    7.9  63.0   2   3   3.4e-05     0.045   11.1   5.0   173   248   248   327   241   340 0.78 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 6346at5820           -            465       0.4    7.9  63.0   3   3      0.47   6.1e+02   -2.6  37.3   213   448   471   742   455   757 0.73 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6346at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6346at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:02 2026
# [ok]
