#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0933000.1-p1   -            543 4696at5820           -            156    6e-103  339.8   3.0   1   1  1.7e-105  1.1e-102  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 4696at5820           -            156   1.3e-10   39.8   1.4   3   4      0.54   3.5e+02   -0.5   0.1    87   119   403   435   390   453 0.68 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 4696at5820           -            156   1.3e-10   39.8   1.4   4   4       3.2   2.1e+03   -3.0   0.2    98   125   584   611   555   636 0.60 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815700.1-p1   -            580 4696at5820           -            156   1.3e-08   33.4   2.8   1   2   2.8e-10   1.9e-07   29.6   0.9     5   129    51   177    47   218 0.85 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815700.1-p1   -            580 4696at5820           -            156   1.3e-08   33.4   2.8   2   2     0.051        33    2.8   0.0    87   131   315   358   309   365 0.80 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4696at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:38 2026
# [ok]
