#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0303800.1-p1   -            487 8163at5820           -            380  4.1e-169  561.3  33.8   1   2  1.4e-163  1.5e-160  533.1  19.7     7   343    20   360    16   375 0.88 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   9   9    0.0077       8.4    4.0   1.3   131   260  2564  2680  2499  2694 0.65 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010840.1-p1   -            289 8163at5820           -            380   9.2e-17   59.8   8.2   1   1   1.1e-19   1.2e-16   59.5   8.2    97   300    41   251    32   276 0.73 | transcript=PVP01_0010840.1 | gene=PVP01_0010840 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Transfer.PvP01_00_199.final:117-1199(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 8163at5820           -            380   1.2e-06   26.6   4.8   1   2         6   6.5e+03   -7.4  11.7   280   299   151   170    24   232 0.49 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 8163at5820           -            380   1.2e-06   26.6   4.8   2   2   1.1e-09   1.2e-06   26.6   4.8   127   261   235   355   223   370 0.76 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 8163at5820           -            380   0.00038   18.3   4.9   1   2   3.5e-07   0.00038   18.3   4.9   242   360    46   168    22   183 0.66 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 8163at5820           -            380   0.00038   18.3   4.9   2   2      0.65   7.1e+02   -2.3   0.9   308   332   274   296   238   310 0.44 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8163at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8163at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8163at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:17 2026
# [ok]
