#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0615200.1-p1   -           1224 1632at5820           -            958         0 2045.7  27.9   1   4   2.2e-25   1.8e-22   77.6   0.7     1    58     4    69     4    79 0.91 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 1632at5820           -            958   4.1e-56  188.9  16.9   1   3   2.7e-45   2.2e-42  143.5   3.5   292   538   406   666   399   676 0.83 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 1632at5820           -            958   4.1e-56  188.9  16.9   2   3   4.8e-18   3.9e-15   53.3   0.3   552   712   915  1091   905  1120 0.85 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 1632at5820           -            958   4.1e-56  188.9  16.9   3   3     0.082        67   -0.4   0.7   859   923  1398  1466  1294  1491 0.80 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 1632at5820           -            958   1.2e-40  137.8  22.1   1   2   7.5e-10   6.1e-07   26.2   0.1   401   467   109   175    97   193 0.85 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 1632at5820           -            958   1.2e-40  137.8  22.1   2   2   5.1e-36   4.1e-33  112.8  18.3   593   922   576   916   559   926 0.85 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 1632at5820           -            958   2.2e-40  136.9  18.3   1   3   2.2e-31   1.8e-28   97.5   2.5   300   489   399   601   389   608 0.84 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 1632at5820           -            958   2.2e-40  136.9  18.3   2   3   5.4e-14   4.4e-11   39.9   1.3   498   680   715   894   684   901 0.76 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 1632at5820           -            958   2.2e-40  136.9  18.3   3   3   9.5e-05     0.077    9.3   0.8   696   763   972  1039   953  1046 0.86 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:47 2026
# [ok]
