#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   1   6   2.1e-47   1.5e-44  150.8   0.3     1   107    32   141    32   145 0.95 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 1444at5820           -           1093   5.6e-09   33.0   2.0   2   2     1e-05    0.0074   12.8   0.2   884   942  1108  1169  1093  1197 0.70 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919600.1-p1   -            366 1444at5820           -           1093   6.5e-09   32.8   0.1   1   1   1.2e-11     9e-09   32.4   0.1   853   914   289   352   252   360 0.88 | transcript=PVP01_0919600.1 | gene=PVP01_0919600 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=PvP01_09_v2:857907-859007(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 1444at5820           -           1093     4e-08   30.2   0.0   1   2     1e-08   7.4e-06   22.7   0.0   847   943    90   188    65   191 0.88 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 1444at5820           -           1093     4e-08   30.2   0.0   2   2     6e-06    0.0043   13.5   0.0   848   902   155   211   148   217 0.88 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 1444at5820           -           1093   2.3e-06   24.4   0.4   1   1   4.2e-09   3.1e-06   24.0   0.4   835   966    30   167     6   180 0.81 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 1444at5820           -           1093   1.1e-05   22.1   3.8   1   1     3e-08   2.1e-05   21.2   3.8   312   412   564   661   542   664 0.85 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:30 2026
# [ok]
