#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0810600.1-p1   -            188 12151at5820          -            140   1.3e-82  273.4   5.8   1   1   9.6e-82   5.7e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 12151at5820          -            140     5e-09   35.0   0.5   4   4       3.9   2.3e+03   -2.8   0.0    85   109   339   363   332   374 0.68 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919600.1-p1   -            366 12151at5820          -            140   7.2e-06   24.8   0.1   1   1   2.4e-08   1.4e-05   23.8   0.1    41    95   287   342   258   349 0.87 | transcript=PVP01_0919600.1 | gene=PVP01_0919600 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=PvP01_09_v2:857907-859007(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 12151at5820          -            140   2.5e-05   23.0   8.2   1   4   0.00012     0.071   11.8   1.3    52    97    85   131    40   138 0.85 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 12151at5820          -            140   2.5e-05   23.0   8.2   2   4   3.9e-05     0.023   13.4   0.2    39    91   138   191   131   202 0.85 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 12151at5820          -            140   2.5e-05   23.0   8.2   3   4       0.9   5.4e+02   -0.7   0.0    72    90   207   225   190   251 0.75 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 12151at5820          -            140   2.5e-05   23.0   8.2   4   4       1.3   7.7e+02   -1.3   0.0    99   111   331   343   306   347 0.79 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 12151at5820          -            140   0.00021   20.0  17.2   1   5       7.7   4.6e+03   -3.8   0.1     4    26  1127  1149  1126  1151 0.88 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 12151at5820          -            140   0.00021   20.0  17.2   2   5      0.19   1.1e+02    1.4   0.0    56    98  1204  1247  1192  1267 0.78 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 12151at5820          -            140   0.00021   20.0  17.2   3   5      0.26   1.5e+02    1.0   0.2    49    97  1446  1498  1436  1532 0.70 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 12151at5820          -            140   0.00021   20.0  17.2   4   5   4.8e-05     0.029   13.1   0.1    24    96  1552  1632  1545  1637 0.62 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 12151at5820          -            140   0.00021   20.0  17.2   5   5   0.00012     0.071   11.8   1.7    40   116  1641  1729  1633  1742 0.75 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 12151at5820          -            140   0.00031   19.5   0.0   1   1   1.2e-06   0.00072   18.3   0.0    38    93    78   134    42   144 0.85 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 12151at5820          -            140    0.0012   17.6   2.1   1   2   3.1e-05     0.018   13.7   0.3    47    96    21    70    10    78 0.84 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 12151at5820          -            140    0.0012   17.6   2.1   2   2     0.044        26    3.5   0.1    71    96   113   138    84   176 0.75 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 12151at5820          -            140     0.045   12.5   0.4   1   2      0.23   1.4e+02    1.2   0.0    67    95   844   872   829   892 0.63 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 12151at5820          -            140     0.045   12.5   0.4   2   2    0.0012      0.72    8.6   0.0    42    95  1188  1242  1180  1274 0.85 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:55 2026
# [ok]
