#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   1   6   1.5e-08   3.3e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1267at5820           -           1206   2.5e-37  126.7  14.6   6   6   9.7e-26   2.1e-22   77.3  10.4   969  1200  1203  1422  1177  1427 0.88 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419300.1-p1   -           1218 1267at5820           -           1206     3e-12   43.6 177.0   1   1   4.4e-12   9.6e-09   32.0 177.0    56  1182     3  1173     1  1191 0.61 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1267at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:35 2026
# [ok]
