#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1421900.1-p1   -           2808 366at5820            -           2063         0 2861.3  68.0   1   1         0         0 2859.2  68.0     1  2062     1  2803     1  2804 0.85 | transcript=PVP01_1421900.1 | gene=PVP01_1421900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase domain-containing protein, putative | transcript_product=protein kinase domain-containing protein, putative | location=PvP01_14_v2:944047-953166(-) | protein_length=2808 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408700.1-p1   -            442 366at5820            -           2063      0.37    6.3  27.1   1   1    0.0023      0.41    6.1  27.1   479   674   108   292    65   397 0.41 | transcript=PVP01_1408700.1 | gene=PVP01_1408700 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP170, putative | transcript_product=centrosomal protein CEP170, putative | location=PvP01_14_v2:398419-400192(-) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620700.1-p1   -            344 366at5820            -           2063      0.46    6.0  11.1   1   1    0.0025      0.44    6.0  11.1   578   733   168   324    29   341 0.49 | transcript=PVP01_0620700.1 | gene=PVP01_0620700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:838600-839634(+) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901200.1-p1   -            229 366at5820            -           2063      0.48    5.9  14.5   1   1    0.0034      0.61    5.6  14.5   522   625   104   209    76   223 0.26 | transcript=PVP01_0901200.1 | gene=PVP01_0901200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:70737-71545(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254300.1-p1   -            318 366at5820            -           2063      0.53    5.8  26.3   1   1    0.0035      0.62    5.5  26.3   341   604    24   290    21   318 0.39 | transcript=PVP01_1254300.1 | gene=PVP01_1254300 | organism=Plasmodium_vivax_P01 | gene_product=U1 snRNP-associated protein, putative | transcript_product=U1 snRNP-associated protein, putative | location=PvP01_12_v2:2215147-2217543(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805700.1-p1   -            435 366at5820            -           2063      0.72    5.3  10.7   1   1    0.0055      0.97    4.9  10.7   522   673    28   212     3   268 0.36 | transcript=PVP01_0805700.1 | gene=PVP01_0805700 | organism=Plasmodium_vivax_P01 | gene_product=IMP1-like protein, putative | transcript_product=IMP1-like protein, putative | location=PvP01_08_v2:258248-259766(-) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0902000.1-p1   -            366 366at5820            -           2063      0.75    5.3  18.2   1   1    0.0049      0.86    5.1  18.2   553   690   190   350    84   361 0.38 | transcript=PVP01_0902000.1 | gene=PVP01_0902000 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:129843-131062(+) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010220.1-p1   -            280 366at5820            -           2063      0.86    5.1  40.9   1   1    0.0056      0.99    4.9  40.9   486   751    13   279     2   280 0.36 | transcript=PVP01_0010220.1 | gene=PVP01_0010220 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 3, putative | transcript_product=merozoite surface protein 3, putative | location=Transfer.PvP01_00_89.final:4506-5697(+) | protein_length=280 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 366at5820            -           2063       1.1    4.7  24.1   1   1    0.0073       1.3    4.5  24.1   466   658    74   269     9   305 0.32 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 366at5820            -           2063       1.5    4.2  12.8   1   1    0.0094       1.7    4.1  12.8   531   630    36   129     2   136 0.46 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317300.1-p1   -           1596 366at5820            -           2063       1.9    3.9  14.1   1   1     0.022       3.9    2.9  14.1   587   659   500   594   472   821 0.43 | transcript=PVP01_1317300.1 | gene=PVP01_1317300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:811477-816456(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 366at5820            -           2063       2.1    3.8   9.6   1   1     0.013       2.3    3.6   9.6   606   667    99   203    37   320 0.49 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727200.1-p1   -           1982 366at5820            -           2063       2.2    3.7  32.9   1   1     0.017         3    3.2  32.9   406   657   260   543   248   653 0.57 | transcript=PVP01_0727200.1 | gene=PVP01_0727200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1152532-1158480(-) | protein_length=1982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111100.1-p1   -            283 366at5820            -           2063       2.4    3.6  27.6   1   1     0.015       2.6    3.4  27.6   532   676    66   225    12   282 0.32 | transcript=PVP01_0111100.1 | gene=PVP01_0111100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:522872-523723(-) | protein_length=283 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1014300.1-p1   -            749 366at5820            -           2063       2.4    3.6  18.2   1   1     0.016       2.9    3.3  18.2   553   686   382   544   210   660 0.45 | transcript=PVP01_1014300.1 | gene=PVP01_1014300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:641834-644083(-) | protein_length=749 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030600.1-p1   -            328 366at5820            -           2063       2.5    3.5  27.7   1   1     0.016       2.8    3.4  27.7   408   664    54   324    27   328 0.35 | transcript=PVP01_1030600.1 | gene=PVP01_1030600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=PvP01_10_v2:1320761-1321747(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421400.1-p1   -            385 366at5820            -           2063       2.7    3.4  46.9   1   1     0.019       3.3    3.1  46.9   419   704    89   360    67   384 0.29 | transcript=PVP01_0421400.1 | gene=PVP01_0421400 | organism=Plasmodium_vivax_P01 | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=PvP01_04_v2:869293-870692(+) | protein_length=385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 366at5820            -           2063         3    3.3  21.3   1   1     0.021       3.7    3.0  21.3   482   716   216   479    18   549 0.52 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418400.1-p1   -            388 366at5820            -           2063       3.1    3.2  18.3   1   1      0.02       3.5    3.0  18.3   576   740   118   319    33   344 0.43 | transcript=PVP01_0418400.1 | gene=PVP01_0418400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 5 | transcript_product=merozoite surface protein 5 | location=PvP01_04_v2:762486-764022(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 366at5820            -           2063       3.1    3.2  24.3   1   1     0.019       3.4    3.1  24.3   559   721    90   222     3   280 0.38 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206700.1-p1   -           2092 366at5820            -           2063       3.4    3.1  36.9   1   1     0.041       7.2    2.0  36.9   455   720   260   532   124   593 0.43 | transcript=PVP01_0206700.1 | gene=PVP01_0206700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:273829-280107(-) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122200.1-p1   -            519 366at5820            -           2063       4.9    2.6  17.2   1   1     0.029       5.2    2.5  17.2   508   683   169   354    38   440 0.45 | transcript=PVP01_1122200.1 | gene=PVP01_1122200 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=PvP01_11_v2:983496-985055(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461800.1-p1   -            205 366at5820            -           2063       5.2    2.5  32.2   1   1     0.035       6.1    2.2  32.2   581   704    44   179    14   201 0.29 | transcript=PVP01_1461800.1 | gene=PVP01_1461800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2670285-2671250(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531800.1-p1   -            584 366at5820            -           2063       5.5    2.4  60.5   1   1     0.042       7.3    2.0  60.5   408   741   208   567   181   575 0.36 | transcript=PVP01_0531800.1 | gene=PVP01_0531800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1339275-1341029(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1031100.1-p1   -            418 366at5820            -           2063       5.7    2.3  22.8   1   1     0.039         7    2.0  22.8   457   684    64   376    17   407 0.30 | transcript=PVP01_1031100.1 | gene=PVP01_1031100 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 3 | transcript_product=merozoite surface protein 3 | location=PvP01_10_v2:1337125-1338381(-) | protein_length=418 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318000.1-p1   -            895 366at5820            -           2063       5.7    2.3   7.5   1   1     0.052       9.2    1.6   7.5   509   660    40   285     5   382 0.32 | transcript=PVP01_0318000.1 | gene=PVP01_0318000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=PvP01_03_v2:764255-766942(-) | protein_length=895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806900.1-p1   -            529 366at5820            -           2063       7.2    2.0  24.8   1   1     0.055       9.8    1.6  24.8   551   681   383   509   362   528 0.40 | transcript=PVP01_0806900.1 | gene=PVP01_0806900 | organism=Plasmodium_vivax_P01 | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=PvP01_08_v2:295899-298199(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/366at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/366at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/366at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:12 2026
# [ok]
