#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1143600.1-p1   -            354 7191at5820           -            301  4.6e-195  645.3  12.8   1   1  8.5e-197  9.6e-195  644.2  12.8     1   301     1   343     1   343 0.95 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 7191at5820           -            301   7.3e-26   89.7   0.6   2   2   2.4e-27   2.7e-25   87.9   0.0    28   243   539   756   528   775 0.90 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 7191at5820           -            301   7.5e-24   83.1   0.1   1   1   8.8e-26   9.9e-24   82.7   0.1    27   226    29   231    18   267 0.92 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 7191at5820           -            301   1.1e-22   79.3   4.2   1   1   3.4e-24   3.9e-22   77.5   4.2    37   237    62   280    55   340 0.77 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 7191at5820           -            301   1.2e-22   79.1   0.3   1   1   1.3e-24   1.4e-22   78.9   0.3    31   230    12   218     3   257 0.77 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 7191at5820           -            301   1.7e-22   78.7   2.9   1   1   3.1e-24   3.5e-22   77.6   2.9    33   230  1170  1370  1143  1398 0.85 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 7191at5820           -            301   2.5e-22   78.1   0.8   1   1   3.2e-24   3.5e-22   77.6   0.8    37   228    10   208     2   219 0.85 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 7191at5820           -            301   2.7e-22   78.0   0.5   1   2   5.9e-24   6.6e-22   76.7   0.2    49   230   129   312    83   353 0.79 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 7191at5820           -            301   2.7e-22   78.0   0.5   2   2       7.2   8.1e+02   -2.4   0.0    18    33   453   468   446   480 0.87 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 7191at5820           -            301   2.3e-21   75.0   0.3   1   1   4.4e-23   4.9e-21   73.9   0.3    31   236  1187  1398  1165  1433 0.81 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 7191at5820           -            301   2.6e-21   74.8   0.3   1   1   5.4e-23   6.1e-21   73.6   0.3    31   272  1525  1766  1510  1794 0.82 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 7191at5820           -            301   9.5e-20   69.6  13.3   1   1   1.1e-21   1.3e-19   69.2  13.3    30   288    21   280     7   283 0.87 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 7191at5820           -            301   7.8e-19   66.6   9.8   1   1     1e-20   1.1e-18   66.1   9.8    27   285    38   311    10   325 0.74 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 7191at5820           -            301   1.4e-18   65.8   0.4   1   1   1.9e-19   2.1e-17   61.9   0.4    24   274   112   388   101   399 0.74 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 7191at5820           -            301   3.5e-18   64.5   0.0   1   1   4.1e-20   4.6e-18   64.1   0.0    38   229    11   206     4   216 0.74 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 7191at5820           -            301     1e-17   62.9   1.7   1   1   5.3e-19   5.9e-17   60.5   1.7    28   229    12   248     9   255 0.78 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7191at5820           -            301   9.5e-15   53.2   2.6   1   2   2.5e-14   2.8e-12   45.1   1.7    57   217   239   404   231   412 0.81 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7191at5820           -            301   9.5e-15   53.2   2.6   2   2    0.0053      0.59    7.9   0.0   168   246   397   482   392   511 0.68 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 7191at5820           -            301   3.7e-14   51.3   0.1   1   1   6.5e-16   7.4e-14   50.3   0.1    29   231     7   223     4   230 0.76 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 7191at5820           -            301   3.8e-13   48.0   0.1   1   1   5.2e-15   5.8e-13   47.4   0.1    28   258    17   254    11   289 0.70 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 7191at5820           -            301   1.7e-12   45.9   0.7   1   1     2e-14   2.3e-12   45.4   0.7    35   226    14   205     8   229 0.81 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 7191at5820           -            301   2.5e-12   45.3   0.6   1   1   2.9e-14   3.3e-12   44.9   0.6    33   233    45   245    39   298 0.71 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 7191at5820           -            301   2.5e-12   45.3   4.1   1   1   5.6e-14   6.3e-12   44.0   4.1    57   275  1726  1945  1721  1961 0.85 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 7191at5820           -            301   2.6e-12   45.2   1.8   1   1   3.6e-14     4e-12   44.6   1.8    27   229   273   485   260   492 0.82 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 7191at5820           -            301   2.3e-11   42.1   4.5   1   2   1.3e-11   1.5e-09   36.1   0.5    27   178    31   186    22   192 0.82 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 7191at5820           -            301   2.3e-11   42.1   4.5   2   2    0.0077      0.87    7.4   0.3   189   257   350   421   292   456 0.77 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 7191at5820           -            301   2.6e-11   42.0   0.2   1   1   3.2e-13   3.6e-11   41.5   0.2    29   195   170   339   145   430 0.81 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 7191at5820           -            301   6.7e-11   40.6   7.3   1   1   1.9e-12   2.1e-10   38.9   7.3    43   230  1950  2144  1942  2197 0.76 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 7191at5820           -            301     1e-10   40.0   0.2   1   1   1.2e-12   1.3e-10   39.6   0.2    89   265    83   262    46   284 0.76 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 7191at5820           -            301   5.7e-10   37.5   0.3   1   1   8.4e-12   9.4e-10   36.8   0.3    27   229   454   661   447   701 0.80 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 7191at5820           -            301   1.5e-09   36.1   0.5   1   1     2e-11   2.2e-09   35.6   0.5    93   271    83   264    63   276 0.81 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 7191at5820           -            301   3.4e-09   35.0   3.8   1   1     7e-11   7.9e-09   33.8   3.8    20   179   722   882   711   887 0.85 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 7191at5820           -            301   4.2e-09   34.7   0.1   1   1   5.5e-11   6.1e-09   34.2   0.1    68   226    78   250    36   260 0.75 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 7191at5820           -            301   9.7e-09   33.5   0.1   1   2   1.9e-07   2.2e-05   22.5   0.0    89   170   919  1001   908  1033 0.80 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 7191at5820           -            301   9.7e-09   33.5   0.1   2   2    0.0037      0.42    8.4   0.1   165   224  1083  1144  1074  1155 0.79 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7191at5820           -            301     2e-08   32.5   0.5   1   2   1.1e-08   1.3e-06   26.5   1.3    24   171  1110  1258  1090  1284 0.81 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7191at5820           -            301     2e-08   32.5   0.5   2   2      0.25        28    2.4   0.0   189   229  1521  1561  1516  1568 0.90 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7191at5820           -            301     3e-08   31.9   2.5   1   3       2.4   2.7e+02   -0.8   1.0   213   255   146   188   134   209 0.84 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7191at5820           -            301     3e-08   31.9   2.5   2   3      0.04       4.5    5.0   0.0    17    95   632   710   621   719 0.76 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7191at5820           -            301     3e-08   31.9   2.5   3   3   4.7e-08   5.3e-06   24.5   0.0   126   230   898  1009   890  1018 0.78 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 7191at5820           -            301   4.6e-08   31.3   0.2   1   1   1.1e-09   1.2e-07   29.9   0.2    79   224   815   964   792  1015 0.79 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 7191at5820           -            301   6.9e-08   30.7   2.3   1   1   1.3e-09   1.5e-07   29.6   2.3    35   239   378   591   370   643 0.72 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 7191at5820           -            301   4.8e-07   27.9   0.5   1   1     6e-09   6.7e-07   27.4   0.5    31   224    30   238    20   253 0.75 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 7191at5820           -            301   5.3e-07   27.8   3.5   1   1   2.1e-08   2.3e-06   25.7   3.4    78   174    69   168    54   226 0.78 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7191at5820           -            301   2.3e-06   25.7   1.7   1   3    0.0001     0.012   13.6   0.1    31   120    35   121    21   131 0.71 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
