#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0513000.1-p1   -            824 3774at5820           -            638         0 1190.3  34.0   1   5   5.7e-25   4.7e-22   76.6   1.7     1    49     1    49     1    53 0.97 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3774at5820           -            638  1.6e-103  345.7  25.9   1   3   9.1e-60   7.4e-57  191.6   5.5     2   231   397   631   396   634 0.94 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3774at5820           -            638  1.6e-103  345.7  25.9   2   3    0.0033       2.7    4.7   0.0   258   285   637   664   632   669 0.87 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 3774at5820           -            638  1.6e-103  345.7  25.9   3   3   6.5e-49   5.3e-46  155.7  10.5   285   630   717  1072   712  1080 0.82 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 3774at5820           -            638   2.5e-60  203.1  26.9   1   3   7.3e-42     6e-39  132.4   7.4     3   227   423   665   420   677 0.84 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 3774at5820           -            638   2.5e-60  203.1  26.9   2   3   6.8e-25   5.5e-22   76.4   2.7   262   422   915  1092   909  1110 0.88 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 3774at5820           -            638   2.5e-60  203.1  26.9   3   3     0.003       2.5    4.8   1.6   502   548  1300  1346  1290  1354 0.89 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 3774at5820           -            638   1.5e-38  131.1  19.1   1   3   6.7e-29   5.5e-26   89.6   5.7     2   190   406   609   405   612 0.83 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 3774at5820           -            638   1.5e-38  131.1  19.1   2   3   2.4e-16     2e-13   48.1   0.1   284   392   788   897   761   905 0.86 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 3774at5820           -            638   1.5e-38  131.1  19.1   3   3     0.074        60    0.3   2.5   401   480   965  1047   958  1163 0.76 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3774at5820           -            638   6.7e-28   95.9  25.5   1   2   2.2e-10   1.8e-07   28.4   0.4    94   167   108   181   103   192 0.85 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3774at5820           -            638   6.7e-28   95.9  25.5   2   2   2.8e-23   2.3e-20   71.0  19.0   302   631   575   908   558   915 0.81 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3774at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3774at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3774at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:38 2026
# [ok]
