#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   1   6   4.3e-09   1.6e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 7466at5820           -            378   1.3e-13   49.4  10.2   2   3   6.7e-05     0.024   12.3   0.2   180   254   381   469   342   474 0.67 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 7466at5820           -            378   1.3e-13   49.4  10.2   3   3   1.3e-13   4.8e-11   41.0   2.8   302   359   602   658   594   670 0.85 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 7466at5820           -            378   1.3e-12   46.1  12.8   1   3   2.7e-10   9.9e-08   30.1   0.6   169   243   367   450   340   465 0.74 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 7466at5820           -            378   1.3e-12   46.1  12.8   2   3    0.0034       1.2    6.7   0.1   262   326   601   682   587   699 0.68 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 7466at5820           -            378   1.3e-12   46.1  12.8   3   3   1.4e-05    0.0052   14.5   2.4   330   361   713   744   702   748 0.86 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 7466at5820           -            378   1.2e-11   43.0  10.7   1   3     0.063        23    2.5   1.1    11    72   119   183   108   197 0.64 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 7466at5820           -            378   1.2e-11   43.0  10.7   2   3   0.00021     0.076   10.7   0.2   183   202   263   282   232   308 0.80 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 7466at5820           -            378   1.2e-11   43.0  10.7   3   3     1e-11   3.7e-09   34.8   0.3   276   356   401   489   380   503 0.74 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 7466at5820           -            378   2.5e-10   38.6   7.6   1   2    0.0005      0.18    9.5   0.7   180   252   577   659   563   665 0.72 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 7466at5820           -            378   2.5e-10   38.6   7.6   2   2   5.2e-11   1.9e-08   32.5   1.1   309   357   745   794   713   806 0.83 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 7466at5820           -            378   1.1e-09   36.5   4.9   1   2    0.0017       0.6    7.7   0.7   180   255   587   672   573   680 0.73 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 7466at5820           -            378   1.1e-09   36.5   4.9   2   2   2.5e-10   8.9e-08   30.2   0.2   288   356   732   803   716   808 0.83 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 7466at5820           -            378   5.2e-09   34.3   5.4   1   2     0.002      0.73    7.5   0.8   178   255   509   596   487   609 0.73 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 7466at5820           -            378   5.2e-09   34.3   5.4   2   2   9.2e-10   3.3e-07   28.3   0.3   288   357   656   728   643   745 0.79 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 7466at5820           -            378   3.7e-08   31.5   3.7   1   2   0.00095      0.34    8.5   0.4   180   255   571   656   555   664 0.74 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 7466at5820           -            378   3.7e-08   31.5   3.7   2   2   2.5e-08     9e-06   23.6   0.2   314   356   745   787   710   792 0.85 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 7466at5820           -            378   1.1e-07   30.0   4.1   1   3       1.1   3.9e+02   -1.5   1.7    45   103   333   390   330   428 0.59 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 7466at5820           -            378   1.1e-07   30.0   4.1   2   3    0.0011      0.39    8.4   0.5   179   221   530   576   500   624 0.68 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 7466at5820           -            378   1.1e-07   30.0   4.1   3   3     3e-10   1.1e-07   30.0   4.1   284   356   672   747   636   755 0.84 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 7466at5820           -            378   1.6e-07   29.4   5.1   1   3     0.005       1.8    6.2   0.5   179   245   580   652   564   675 0.71 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 7466at5820           -            378   1.6e-07   29.4   5.1   2   3   1.9e-08   6.7e-06   24.0   0.2   316   356   757   797   737   802 0.88 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 7466at5820           -            378   1.6e-07   29.4   5.1   3   3       7.9   2.9e+03   -4.4   0.0    59    96  1009  1046  1001  1048 0.80 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 7466at5820           -            378   3.2e-07   28.4  16.3   1   3       2.7   9.7e+02   -2.8   0.8   115   154   386   424   350   431 0.66 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 7466at5820           -            378   3.2e-07   28.4  16.3   2   3   0.00018     0.065   10.9   0.5   180   239   572   637   548   655 0.68 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 7466at5820           -            378   3.2e-07   28.4  16.3   3   3   1.8e-09   6.5e-07   27.4   2.3   286   356   715   788   703   800 0.82 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 7466at5820           -            378   6.4e-07   27.4   0.5   1   3     0.036        13    3.4   0.4   179   240   525   592   511   596 0.76 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 7466at5820           -            378   6.4e-07   27.4   0.5   2   3   1.8e-09   6.4e-07   27.4   0.5   310   356   695   742   661   747 0.80 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 7466at5820           -            378   6.4e-07   27.4   0.5   3   3       3.5   1.3e+03   -3.2   0.1   343   368   986  1013   982  1014 0.80 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 7466at5820           -            378   1.3e-06   26.4   9.2   1   3       4.1   1.5e+03   -3.4   0.1    53    89   367   404   357   439 0.71 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 7466at5820           -            378   1.3e-06   26.4   9.2   2   3    0.0033       1.2    6.8   0.9   179   244   547   618   532   635 0.71 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 7466at5820           -            378   1.3e-06   26.4   9.2   3   3   1.3e-08   4.6e-06   24.6   0.3   317   356   725   764   696   769 0.85 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 7466at5820           -            378   1.5e-06   26.2   0.4   1   3         6   2.2e+03   -4.0   1.0    22    64   221   264   176   308 0.57 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 7466at5820           -            378   1.5e-06   26.2   0.4   2   3    0.0019      0.68    7.6   0.8   179   255   535   621   520   632 0.77 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 7466at5820           -            378   1.5e-06   26.2   0.4   3   3   4.1e-09   1.5e-06   26.2   0.4   316   356   712   752   687   767 0.87 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7466at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7466at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7466at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:37 2026
# [ok]
