#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1304500.1-p1   -            930 3859at5820           -            494    1e-247  821.3  73.0   1   4   2.2e-24     2e-21   74.9  10.0     1    61     1    65     1    69 0.90 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3859at5820           -            494   7.6e-12   43.3  17.5   1   3   1.2e-10   1.1e-07   29.5   2.0   338   445    80   176    73   207 0.79 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3859at5820           -            494   7.6e-12   43.3  17.5   2   3   1.7e-05     0.016   12.6   0.3   373   446   212   283   192   291 0.83 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3859at5820           -            494   7.6e-12   43.3  17.5   3   3     4e-05     0.037   11.3   0.8   395   461   343   409   340   420 0.88 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 3859at5820           -            494   9.3e-10   36.4  24.4   1   3   4.6e-08   4.2e-05   21.0   3.7   336   442    79   180    57   185 0.73 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 3859at5820           -            494   9.3e-10   36.4  24.4   2   3     0.002       1.9    5.7   5.9   343   442   191   295   188   299 0.79 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 3859at5820           -            494   9.3e-10   36.4  24.4   3   3   1.2e-07   0.00011   19.7   0.8   394   471   300   382   295   401 0.79 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 3859at5820           -            494   1.7e-08   32.2  20.7   1   4       0.8   7.5e+02   -2.9   0.5   193   218     4    26     1    46 0.56 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 3859at5820           -            494   1.7e-08   32.2  20.7   2   4   1.4e-05     0.013   12.8   2.3   337   441   146   245   139   253 0.73 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 3859at5820           -            494   1.7e-08   32.2  20.7   3   4   6.1e-05     0.056   10.7   0.1   410   442   327   359   293   363 0.83 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 3859at5820           -            494   1.7e-08   32.2  20.7   4   4   4.1e-08   3.8e-05   21.2   0.5   393   461   363   434   360   447 0.78 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3859at5820           -            494    0.0005   17.5   8.2   1   6   5.4e-07    0.0005   17.5   8.2   343   444    88   187     7   194 0.72 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3859at5820           -            494    0.0005   17.5   8.2   2   6   0.00066      0.62    7.3   0.1   339   389   196   241   186   245 0.83 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3859at5820           -            494    0.0005   17.5   8.2   3   6     0.057        53    0.9   0.3   228   262   311   345   301   354 0.79 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3859at5820           -            494    0.0005   17.5   8.2   4   6    0.0018       1.7    5.9   0.2   333   368   363   397   352   405 0.75 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3859at5820           -            494    0.0005   17.5   8.2   5   6     0.013        12    3.1   0.1   239   272   416   449   412   468 0.81 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3859at5820           -            494    0.0005   17.5   8.2   6   6      0.35   3.3e+02   -1.7   0.3   332   397   684   743   655   761 0.72 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3859at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3859at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3859at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:04 2026
# [ok]
