#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0947300.1-p1   -            800 4394at5820           -            638         0 1124.3  70.5   1   2  3.2e-300  1.9e-297  986.6  60.4     1   520     1   538     1   568 0.97 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 4394at5820           -            638   3.5e-19   67.4  47.6   1   4   7.5e-14   4.5e-11   40.6  10.7     2   109   105   212   104   222 0.85 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 4394at5820           -            638   3.5e-19   67.4  47.6   2   4   2.1e-07   0.00013   19.3  13.1   172   306   304   440   237   449 0.74 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 4394at5820           -            638   3.5e-19   67.4  47.6   3   4   2.6e-13   1.5e-10   38.8   7.8   316   451   511   643   508   707 0.64 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 4394at5820           -            638   3.5e-19   67.4  47.6   4   4       3.8   2.2e+03   -4.7   0.9    22    55   786   821   780   844 0.35 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 4394at5820           -            638   1.3e-17   62.1  16.1   1   1   2.2e-20   1.3e-17   62.1  16.1     1   385    39   387    39   405 0.78 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 4394at5820           -            638     2e-11   41.7  16.5   1   2   3.4e-14     2e-11   41.7  16.5    51   376   105   405    88   420 0.80 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 4394at5820           -            638     2e-11   41.7  16.5   2   2      0.51     3e+02   -1.8   1.0   498   544   492   525   460   561 0.48 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 4394at5820           -            638     3e-09   34.5  22.4   1   2   9.8e-06    0.0058   13.8   0.1    45   108   294   356   259   372 0.83 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 4394at5820           -            638     3e-09   34.5  22.4   2   2     4e-10   2.4e-07   28.3   7.2   191   370   682   846   677   859 0.78 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1148900.1-p1   -            218 4394at5820           -            638    0.0019   15.3   1.4   1   2   3.3e-06    0.0019   15.3   1.4   396   473     7    83     2   125 0.82 | transcript=PVP01_1148900.1 | gene=PVP01_1148900 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_11_v2:2109131-2109900(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1148900.1-p1   -            218 4394at5820           -            638    0.0019   15.3   1.4   2   2       2.2   1.3e+03   -3.9   0.3    93   123   182   212   174   215 0.73 | transcript=PVP01_1148900.1 | gene=PVP01_1148900 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_11_v2:2109131-2109900(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4394at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4394at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4394at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:25 2026
# [ok]
