#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0701600.1-p1   -            206 11314at5820          -            167  5.1e-119  392.7   3.7   1   1  1.6e-121    6e-119  392.4   3.7     1   167    17   183    17   183 1.00 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 11314at5820          -            167   2.5e-20   71.6   7.3   2   2   2.6e-21   9.4e-19   66.5   2.7    31   160    89   213    71   220 0.88 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 11314at5820          -            167   1.2e-19   69.4   0.1   1   1   4.6e-22   1.7e-19   68.9   0.1     2   161    19   170    18   173 0.91 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 11314at5820          -            167   2.6e-05   22.7   0.3   1   1     9e-08   3.3e-05   22.4   0.3    36   153    56   172    26   177 0.79 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 11314at5820          -            167   0.00031   19.2   0.1   1   1   1.8e-06   0.00066   18.1   0.1     4   149   602   745   599   754 0.81 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 11314at5820          -            167    0.0023   16.4   0.0   1   1   7.6e-06    0.0027   16.1   0.0    40   115    63   135    31   157 0.84 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 11314at5820          -            167    0.0032   15.9   0.4   1   1   1.8e-05    0.0066   14.9   0.4    31   127    51   144    26   160 0.73 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 11314at5820          -            167    0.0083   14.6   0.0   1   1   2.7e-05    0.0099   14.3   0.0    21    77    35    97    21   148 0.73 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11314at5820          -            167     0.021   13.2   0.1   1   2   0.00018     0.067   11.6   0.0    41    91   156   206   118   217 0.83 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11314at5820          -            167     0.021   13.2   0.1   2   2       4.1   1.5e+03   -2.5   0.0   102   123   346   368   343   402 0.73 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11314at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11314at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11314at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:01 2026
# [ok]
