#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   1  18  1.3e-108  8.7e-105  349.7   4.0     1   273     2   301     2   307 0.91 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  12  18     4e-52   2.6e-48  162.4  13.1  1490  1646  2491  2668  2476  2670 0.91 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  13  18   9.4e-49   6.1e-45  151.2   5.6  1646  1756  2716  2827  2704  2831 0.95 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  14  18   1.1e-53   7.1e-50  167.6   9.5  1754  1971  2852  3142  2848  3145 0.80 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  15  18   1.6e-34     1e-30  104.0   0.1  1988  2082  3376  3476  3370  3486 0.91 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  16  18  2.3e-101   1.5e-97  325.8   7.0  2087  2368  3520  3849  3515  3855 0.86 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  17  18   7.8e-82   5.1e-78  260.9  17.1  2332  2523  4028  4254  4020  4256 0.87 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  18  18   5.9e-55   3.8e-51  171.8  10.6  2518  2628  4314  4430  4297  4430 0.95 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/108at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/108at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/108at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:48 2026
# [ok]
