#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1136900.1-p1   -           1574 2625at5820           -           1265         0 1640.3  24.7   1   1         0         0 1640.1  24.7     1  1265     1  1574     1  1574 0.75 | transcript=PVP01_1136900.1 | gene=PVP01_1136900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_11_v2:1563686-1569437(+) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317300.1-p1   -           1596 2625at5820           -           1265     0.041   10.3  36.1   1   2       1.3   3.4e+02   -2.7   0.5   691   760    67   110     6   148 0.34 | transcript=PVP01_1317300.1 | gene=PVP01_1317300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:811477-816456(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317300.1-p1   -           1596 2625at5820           -           1265     0.041   10.3  36.1   2   2   5.2e-06    0.0013   15.2  29.4   366   555   494   729   421   886 0.44 | transcript=PVP01_1317300.1 | gene=PVP01_1317300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:811477-816456(-) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312000.1-p1   -            510 2625at5820           -           1265     0.049   10.0   3.5   1   1   0.00022     0.055    9.8   3.5   374   512   124   313    78   485 0.51 | transcript=PVP01_0312000.1 | gene=PVP01_0312000 | organism=Plasmodium_vivax_P01 | gene_product=PDCD2 domain-containing protein, putative | transcript_product=PDCD2 domain-containing protein, putative | location=PvP01_03_v2:530378-531910(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212400.1-p1   -            384 2625at5820           -           1265      0.06    9.7  31.6   1   1    0.0003     0.076    9.4  31.6   371   494    39   236     6   253 0.43 | transcript=PVP01_1212400.1 | gene=PVP01_1212400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=PvP01_12_v2:549361-550738(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219900.1-p1   -            411 2625at5820           -           1265     0.089    9.2  17.3   1   1    0.0004       0.1    9.0  17.3   338   503    28   253     8   358 0.39 | transcript=PVP01_1219900.1 | gene=PVP01_1219900 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:806200-807435(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 2625at5820           -           1265      0.11    8.9  36.7   1   1   0.00056      0.14    8.5  36.7   327   552    25   271    13   304 0.33 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0734700.1-p1   -            266 2625at5820           -           1265      0.27    7.5  15.2   1   1    0.0011      0.28    7.5  15.2   383   510    87   240     3   264 0.42 | transcript=PVP01_0734700.1 | gene=PVP01_0734700 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_07_v2:1439481-1440535(-) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813900.1-p1   -            453 2625at5820           -           1265      0.28    7.5  55.8   1   1    0.0014      0.34    7.2  55.8   381   606    70   351    15   420 0.29 | transcript=PVP01_0813900.1 | gene=PVP01_0813900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:600195-602517(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1203800.1-p1   -            936 2625at5820           -           1265      0.44    6.9  24.1   1   1    0.0023      0.59    6.4  24.1   355   567   373   579   266   660 0.37 | transcript=PVP01_1203800.1 | gene=PVP01_1203800 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol transfer protein, putative | transcript_product=phosphatidylinositol transfer protein, putative | location=PvP01_12_v2:155262-158072(-) | protein_length=936 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 2625at5820           -           1265      0.49    6.7  15.6   1   1    0.0029      0.73    6.1  15.6   371   429  1153  1276  1091  1359 0.38 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515600.1-p1   -            479 2625at5820           -           1265      0.71    6.2  24.5   1   1    0.0036      0.91    5.8  24.5   369   570   236   441   169   476 0.40 | transcript=PVP01_0515600.1 | gene=PVP01_0515600 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:657120-658705(-) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525800.1-p1   -           1291 2625at5820           -           1265      0.86    5.9  59.7   1   2     0.015       3.9    3.7  25.5   381   582   249   481   183   550 0.32 | transcript=PVP01_0525800.1 | gene=PVP01_0525800 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase, putative | transcript_product=histone acetyltransferase, putative | location=PvP01_05_v2:1046450-1050681(+) | protein_length=1291 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525800.1-p1   -           1291 2625at5820           -           1265      0.86    5.9  59.7   2   2   0.00079       0.2    8.0  26.2   371   697   791  1267   707  1286 0.43 | transcript=PVP01_0525800.1 | gene=PVP01_0525800 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase, putative | transcript_product=histone acetyltransferase, putative | location=PvP01_05_v2:1046450-1050681(+) | protein_length=1291 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030700.1-p1   -            292 2625at5820           -           1265         1    5.6  37.3   1   1    0.0049       1.2    5.4  37.3   345   507    38   237     9   284 0.27 | transcript=PVP01_1030700.1 | gene=PVP01_1030700 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_10_v2:1324040-1324918(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806900.1-p1   -            529 2625at5820           -           1265       1.7    5.0  26.1   1   1    0.0078         2    4.7  26.1   380   507   398   510   333   529 0.41 | transcript=PVP01_0806900.1 | gene=PVP01_0806900 | organism=Plasmodium_vivax_P01 | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=PvP01_08_v2:295899-298199(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025400.1-p1   -            276 2625at5820           -           1265       2.5    4.4  17.4   1   1     0.012       3.1    4.1  17.4   409   571    50   255    19   275 0.25 | transcript=PVP01_1025400.1 | gene=PVP01_1025400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_10_v2:1110700-1111530(-) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232200.1-p1   -            425 2625at5820           -           1265       3.1    4.1  38.8   1   1     0.015       3.7    3.8  38.8   395   599   112   381    38   419 0.31 | transcript=PVP01_1232200.1 | gene=PVP01_1232200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1270518-1272132(-) | protein_length=425 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408400.1-p1   -            639 2625at5820           -           1265       6.5    3.0  14.1   1   1     0.036       9.1    2.5  14.1   379   549    54   278    29   339 0.23 | transcript=PVP01_0408400.1 | gene=PVP01_0408400 | organism=Plasmodium_vivax_P01 | gene_product=sugar transporter, putative | transcript_product=sugar transporter, putative | location=PvP01_04_v2:340944-342863(-) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218400.1-p1   -            386 2625at5820           -           1265       8.9    2.5  54.5   1   1     0.047        12    2.1  54.5   377   609    27   316     3   373 0.25 | transcript=PVP01_1218400.1 | gene=PVP01_1218400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:758106-760033(-) | protein_length=386 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2625at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2625at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2625at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:05 2026
# [ok]
