#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1340600.1-p1   -           1103 1979at5820           -            957         0 1945.1 105.2   1   4         0         0 1500.4  59.3     1   694     1   715     1   722 0.98 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 1979at5820           -            957   6.7e-30  102.3  24.0   5   5   1.5e-10   3.2e-07   27.2   0.0   702   749   941   988   933  1008 0.83 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1979at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1979at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1979at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:35 2026
# [ok]
