#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1464500.1-p1   -            302 9829at5820           -            272  2.7e-163  540.3  15.9   1   1  6.6e-166  4.3e-163  539.7  15.9     1   272     9   298     9   298 0.97 | transcript=PVP01_1464500.1 | gene=PVP01_1464500 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=PvP01_14_v2:2761587-2762495(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107900.1-p1   -           1093 9829at5820           -            272   1.6e-06   26.2   5.5   1   2       4.5   2.9e+03   -4.1   1.5   116   159    23    71    17    89 0.66 | transcript=PVP01_0107900.1 | gene=PVP01_0107900 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_01_v2:394691-397972(+) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107900.1-p1   -           1093 9829at5820           -            272   1.6e-06   26.2   5.5   2   2   2.5e-09   1.6e-06   26.2   5.5   130   248   833   947   816   971 0.87 | transcript=PVP01_0107900.1 | gene=PVP01_0107900 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_01_v2:394691-397972(+) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 9829at5820           -            272   2.5e-05   22.3   3.7   1   2     3e-07    0.0002   19.4   0.3   137   218    14    91     2   136 0.80 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 9829at5820           -            272   2.5e-05   22.3   3.7   2   2     0.016        10    3.9   0.3   136   200   302   367   285   376 0.88 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828000.1-p1   -           1123 9829at5820           -            272   3.8e-05   21.7   2.7   1   1   1.1e-07   7.2e-05   20.8   2.7   130   201   242   309   222   337 0.84 | transcript=PVP01_0828000.1 | gene=PVP01_0828000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_08_v2:1212096-1215467(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 9829at5820           -            272    0.0033   15.3   8.7   1   2    0.0077         5    4.9   0.4   131   171   155   195   143   208 0.80 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 9829at5820           -            272    0.0033   15.3   8.7   2   2   1.5e-05      0.01   13.8   2.6   162   271   239   343   210   344 0.83 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1229000.1-p1   -            141 9829at5820           -            272     0.013   13.4   1.2   1   1   2.4e-05     0.016   13.1   1.2   147   248     8   106     2   116 0.73 | transcript=PVP01_1229000.1 | gene=PVP01_1229000 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial fission 1 protein, putative | transcript_product=mitochondrial fission 1 protein, putative | location=PvP01_12_v2:1159825-1160468(-) | protein_length=141 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:47 2026
# [ok]
