#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   1   6  9.3e-109    1e-105  353.4   6.4     1   214     1   216     1   220 0.98 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 3350at5820           -            688   8.4e-12   43.0   5.0   1   3   7.7e-15   8.4e-12   43.0   5.0    41   174    24   164    16   238 0.86 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 3350at5820           -            688   8.4e-12   43.0   5.0   2   3       3.1   3.3e+03   -5.3   9.2   304   426   359   484   350   495 0.47 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 3350at5820           -            688   8.4e-12   43.0   5.0   3   3      0.03        32    1.4   2.2   395   490   554   644   542   655 0.79 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 3350at5820           -            688   4.4e-08   30.6   6.4   1   3   4.1e-11   4.4e-08   30.6   6.4    77   211    65   200    27   233 0.78 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 3350at5820           -            688   4.4e-08   30.6   6.4   2   3   0.00021      0.23    8.5   9.5    71   217   311   459   305   488 0.77 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 3350at5820           -            688   4.4e-08   30.6   6.4   3   3       1.7   1.8e+03   -4.4   4.0    87   154   575   644   551   668 0.72 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 3350at5820           -            688   0.00076   16.6   0.0   1   3     7e-07   0.00076   16.6   0.0    40   141    43   143    36   166 0.83 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 3350at5820           -            688   0.00076   16.6   0.0   2   3      0.13   1.4e+02   -0.8   0.5   463   500   225   262   206   297 0.52 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 3350at5820           -            688   0.00076   16.6   0.0   3   3       1.1   1.2e+03   -3.8   1.5   441   484   399   446   373   454 0.46 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3350at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3350at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3350at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:31 2026
# [ok]
