#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1236300.1-p1   -            803 3052at5820           -            646         0 1177.0  90.0   1   2   5.5e-76     9e-73  244.5  36.6     5   225    28   323    25   340 0.84 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3052at5820           -            646   1.7e-29  101.5  14.9   2   4         4   6.5e+03  -17.0  25.3    25   178   121   265   113   362 0.62 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3052at5820           -            646   1.7e-29  101.5  14.9   3   4     1e-32   1.7e-29  101.5  14.9   277   496   464   677   448   702 0.85 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3052at5820           -            646   1.7e-29  101.5  14.9   4   4    0.0005      0.82    6.8   0.7   555   602   702   747   685   770 0.86 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3052at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:32 2026
# [ok]
