#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   1   9   3.1e-57   3.4e-54  182.8   0.0     1   162     1   206     1   214 0.81 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 1282at5820           -            992   2.3e-11   41.1   0.0   3   4     0.021        23    1.3   0.0   368   411   206   257   201   264 0.75 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 1282at5820           -            992   2.3e-11   41.1   0.0   4   4     0.015        16    1.8   0.0   309   329   297   317   267   332 0.74 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 1282at5820           -            992   8.3e-08   29.3   8.6   1   3     2e-05     0.022   11.3   0.8   309   438   151   285   137   291 0.73 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 1282at5820           -            992   8.3e-08   29.3   8.6   2   3   4.5e-08   4.9e-05   20.1   0.2   365   413   324   380   294   385 0.72 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 1282at5820           -            992   8.3e-08   29.3   8.6   3   3      0.29   3.1e+02   -2.4   0.1   384   431   401   446   396   455 0.51 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 1282at5820           -            992   8.3e-08   29.3  13.0   1   3   3.8e-08   4.1e-05   20.4   1.5   314   406    89   182    84   188 0.81 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 1282at5820           -            992   8.3e-08   29.3  13.0   2   3   0.00041      0.45    7.0   0.2   317   397   198   279   185   285 0.77 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 1282at5820           -            992   8.3e-08   29.3  13.0   3   3   0.00012      0.13    8.7   0.5   496   569   340   416   331   472 0.79 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 1282at5820           -            992   7.3e-07   26.1  20.3   1   4   8.7e-09   9.5e-06   22.5   3.9   309   441    85   218    74   240 0.73 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 1282at5820           -            992   7.3e-07   26.1  20.3   2   4   2.7e-05      0.03   10.9   3.5   308   411   189   314   188   317 0.62 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 1282at5820           -            992   7.3e-07   26.1  20.3   3   4   0.00013      0.14    8.6   1.0   498   549   300   356   291   384 0.67 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 1282at5820           -            992   7.3e-07   26.1  20.3   4   4      0.56   6.1e+02   -3.4   0.1   237   275   459   498   452   507 0.74 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 1282at5820           -            992    0.0031   14.1   2.8   1   3   6.7e-05     0.072    9.6   0.2   497   544  1428  1475  1416  1503 0.76 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 1282at5820           -            992    0.0031   14.1   2.8   2   3    0.0025       2.8    4.4   0.1   309   336  1487  1514  1483  1529 0.86 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 1282at5820           -            992    0.0031   14.1   2.8   3   3      0.26   2.9e+02   -2.3   0.1   746   776  2163  2193  2155  2196 0.92 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1282at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1282at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1282at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:58 2026
# [ok]
