#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0837200.1-p1   -            785 2880at5820           -            691         0 1403.4  36.2   1   2   3.9e-78   1.3e-75  253.5   5.4     1   149     6   169     6   174 0.95 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 2880at5820           -            691   6.6e-46  155.3   4.6   1   2     0.013       4.2    3.9   0.9   480   571   216   314   199   384 0.72 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 2880at5820           -            691   6.6e-46  155.3   4.6   2   2     2e-48   6.6e-46  155.3   4.6   171   423   556   794   541   805 0.87 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466000.1-p1   -            424 2880at5820           -            691   4.7e-38  129.4   0.1   1   1     2e-40   6.5e-38  128.9   0.1   192   427   171   395   165   419 0.83 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 2880at5820           -            691   7.1e-38  128.8   0.5   1   1   3.1e-40     1e-37  128.3   0.5   176   410   126   347   111   371 0.84 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 2880at5820           -            691   1.1e-36  124.9   0.1   1   1   5.4e-39   1.8e-36  124.2   0.1   218   419   188   382   177   401 0.86 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412500.1-p1   -            420 2880at5820           -            691   9.2e-34  115.2   0.0   1   1   4.1e-36   1.3e-33  114.7   0.0   218   423   190   385   164   409 0.86 | transcript=PVP01_1412500.1 | gene=PVP01_1412500 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=PvP01_14_v2:550653-552145(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808100.1-p1   -            447 2880at5820           -            691   8.9e-33  111.9   0.0   1   1   4.8e-35   1.6e-32  111.1   0.0   217   422   219   414   191   437 0.88 | transcript=PVP01_0808100.1 | gene=PVP01_0808100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=PvP01_08_v2:362144-363776(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 2880at5820           -            691     2e-31  107.4   0.0   1   1     1e-33   3.3e-31  106.8   0.0   216   424   214   412   172   433 0.83 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 2880at5820           -            691   4.6e-28   96.3   0.1   1   1   2.2e-30     7e-28   95.7   0.1   215   422   163   360   119   375 0.84 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 2880at5820           -            691   4.8e-28   96.3   0.0   1   1   2.4e-30     8e-28   95.6   0.0   218   416   429   624   417   637 0.87 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 2880at5820           -            691   1.8e-25   87.8   0.5   1   1   9.9e-28   3.2e-25   86.9   0.5   218   414   277   460   237   490 0.90 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 2880at5820           -            691     5e-25   86.3   1.3   1   1   2.3e-27   7.6e-25   85.7   1.3   222   457   455   683   408   692 0.84 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 2880at5820           -            691   1.4e-17   61.7   0.0   1   1   1.1e-19   3.7e-17   60.3   0.0   224   379   151   296    93   365 0.82 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 2880at5820           -            691   9.8e-17   58.9   0.8   1   1   1.3e-18   4.2e-16   56.8   0.8   221   382   342   513   324   556 0.80 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 2880at5820           -            691   1.6e-09   35.1   0.0   1   2   2.3e-07   7.6e-05   19.6   0.0   226   340   599   713   585   718 0.73 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 2880at5820           -            691   1.6e-09   35.1   0.0   2   2   2.2e-05    0.0071   13.1   0.0   335   376   791   832   782   842 0.89 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 2880at5820           -            691   1.4e-05   22.1   0.0   1   1   7.7e-08   2.5e-05   21.2   0.0   226   317   744   828   740   876 0.88 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 2880at5820           -            691    0.0018   15.1   0.0   1   2      0.13        41    0.7   0.0   220   244   250   275   229   301 0.81 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 2880at5820           -            691    0.0018   15.1   0.0   2   2   6.4e-05     0.021   11.5   0.0   322   370   368   416   355   429 0.89 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2880at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2880at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2880at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:18 2026
# [ok]
