#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1447300.1-p1   -           2007 760at5820            -           1541         0 2513.5  46.3   1   4   1.2e-22   1.1e-19   68.0   0.0     8    75    11    79     3    86 0.88 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 760at5820            -           1541   2.9e-06   23.6   0.2   4   4     0.018        17    1.1   1.3  1476  1528   751   803   722   814 0.83 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 760at5820            -           1541   0.00036   16.6  37.3   1   4      0.14   1.3e+02   -1.8   1.6    75   137    53   115    22   256 0.81 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 760at5820            -           1541   0.00036   16.6  37.3   2   4   4.8e-05     0.044    9.7  28.8   945  1387   365   803   357   813 0.62 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 760at5820            -           1541   0.00036   16.6  37.3   3   4      0.05        47   -0.4   0.0   575   636   782   845   778   847 0.75 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 760at5820            -           1541   0.00036   16.6  37.3   4   4   3.3e-05     0.031   10.2   0.0  1480  1524   868   912   854   929 0.86 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 760at5820            -           1541   0.00069   15.7   1.1   1   2   8.5e-07    0.0008   15.5   0.1  1289  1349   116   178    96   186 0.87 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 760at5820            -           1541   0.00069   15.7   1.1   2   2      0.29   2.7e+02   -2.9   0.1  1481  1524   288   334   279   341 0.69 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/760at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/760at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/760at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:18 2026
# [ok]
