#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1260400.1-p1   -            168 12707at5820          -            166  1.3e-113  375.2   8.2   1   1  4.2e-116  1.5e-113  375.0   8.2     1   166     3   168     3   168 1.00 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 12707at5820          -            166     1e-06   27.4   8.9   2   2     2e-07   6.9e-05   21.5   0.5    25    87   457   517   452   525 0.74 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520700.1-p1   -            150 12707at5820          -            166   3.9e-06   25.6   1.7   1   2   2.3e-06    0.0008   18.0   0.1    93   161     7    72     2    76 0.89 | transcript=PVP01_0520700.1 | gene=PVP01_0520700 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=PvP01_05_v2:849436-850418(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520700.1-p1   -            150 12707at5820          -            166   3.9e-06   25.6   1.7   2   2    0.0046       1.6    7.3   0.2   110   158    94   145    78   150 0.77 | transcript=PVP01_0520700.1 | gene=PVP01_0520700 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=PvP01_05_v2:849436-850418(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12707at5820          -            166   9.1e-06   24.4   5.2   1   2   5.2e-08   1.8e-05   23.4   0.6    92   159    41   107    27   116 0.89 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12707at5820          -            166   9.1e-06   24.4   5.2   2   2     0.081        28    3.3   0.4    59   114   124   176   110   200 0.76 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12707at5820          -            166   3.9e-05   22.3   5.4   1   1   3.5e-07   0.00012   20.7   5.4    20   162   375   525   368   528 0.72 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 12707at5820          -            166   6.3e-05   21.6   0.8   1   2       1.6   5.6e+02   -1.0   0.1   134   147    71    84    54   106 0.59 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 12707at5820          -            166   6.3e-05   21.6   0.8   2   2   5.3e-07   0.00018   20.1   0.1    76   145   125   194   114   207 0.88 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 12707at5820          -            166   7.9e-05   21.3   1.3   1   1   4.2e-07   0.00014   20.5   1.3    27   157     8   131     4   135 0.91 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12707at5820          -            166   0.00011   20.9   0.5   1   2     0.036        12    4.4   0.1    72   128    18    69    10    76 0.81 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12707at5820          -            166   0.00011   20.9   0.5   2   2   1.8e-05     0.006   15.2   0.1    97   156    75   133    69   139 0.86 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103100.1-p1   -            107 12707at5820          -            166    0.0019   16.8   0.5   1   1   6.5e-06    0.0022   16.6   0.5    19    89    40   106    26   107 0.90 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214200.1-p1   -            131 12707at5820          -            166    0.0029   16.2   0.5   1   1   1.1e-05    0.0038   15.8   0.5    29   156    11   128     1   131 0.74 | transcript=PVP01_0214200.1 | gene=PVP01_0214200 | organism=Plasmodium_vivax_P01 | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=PvP01_02_v2:602358-603491(-) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12707at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12707at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12707at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:41 2026
# [ok]
