#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1464900.1-p1   -            621 5171at5820           -            438  3.8e-213  706.7   7.8   1   3   2.4e-83   8.7e-81  270.5   0.0     1   180    16   215    16   220 0.90 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 5171at5820           -            438   1.2e-06   26.2   0.7   1   1   5.3e-09   1.9e-06   25.5   0.7   375   416   746   794   727   813 0.80 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 5171at5820           -            438     3e-06   24.9   0.1   1   1   1.5e-08   5.6e-06   24.0   0.1   376   416   757   804   727   824 0.76 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 5171at5820           -            438   5.8e-06   23.9   0.1   1   3       1.1   3.9e+02   -1.9   0.3   225   252   248   278   242   286 0.66 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 5171at5820           -            438   5.8e-06   23.9   0.1   2   3   1.6e-08   5.8e-06   23.9   0.1   382   415   449   489   427   496 0.89 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 5171at5820           -            438   5.8e-06   23.9   0.1   3   3       1.9   6.8e+02   -2.7   0.2   233   263   648   678   627   690 0.72 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 5171at5820           -            438   2.3e-05   21.9   1.9   1   2       1.3   4.5e+02   -2.1   0.1   256   324   289   359   279   365 0.67 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 5171at5820           -            438   2.3e-05   21.9   1.9   2   2   7.4e-08   2.7e-05   21.7   0.1   381   430   756   816   745   820 0.73 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 5171at5820           -            438   3.6e-05   21.3   2.8   1   2     0.078        28    1.9   0.4   233   256   571   594   548   616 0.77 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 5171at5820           -            438   3.6e-05   21.3   2.8   2   2     1e-07   3.6e-05   21.3   2.8   376   416   742   789   708   809 0.70 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 5171at5820           -            438   5.3e-05   20.7   1.4   1   2       3.1   1.1e+03   -3.4   0.1   149   177   337   366   304   375 0.71 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 5171at5820           -            438   5.3e-05   20.7   1.4   2   2   1.7e-07   6.2e-05   20.5   0.2   379   415   684   727   652   746 0.83 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 5171at5820           -            438   7.2e-05   20.3   0.1   1   2       4.5   1.6e+03   -3.9   0.1   310   325   331   346   326   351 0.78 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 5171at5820           -            438   7.2e-05   20.3   0.1   2   2     2e-07   7.2e-05   20.3   0.1   380   416   745   788   711   809 0.83 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 5171at5820           -            438     8e-05   20.2   2.6   1   2     0.098        36    1.5   0.2   233   256   530   553   513   563 0.77 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 5171at5820           -            438     8e-05   20.2   2.6   2   2   2.2e-07     8e-05   20.2   2.6   373   416   698   748   667   770 0.72 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 5171at5820           -            438   8.8e-05   20.0   0.5   1   2       2.1   7.5e+02   -2.8   0.0   235   263   549   577   542   588 0.82 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 5171at5820           -            438   8.8e-05   20.0   0.5   2   2   5.4e-07    0.0002   18.9   0.1   373   430   715   783   691   789 0.73 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 5171at5820           -            438   0.00025   18.5   2.8   1   2      0.43   1.5e+02   -0.6   0.1   255   324   253   324   249   333 0.72 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 5171at5820           -            438   0.00025   18.5   2.8   2   2   8.9e-07   0.00032   18.2   0.3   379   415   709   752   696   773 0.79 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5171at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:28 2026
# [ok]
