#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0713700.1-p1   -            719 4609at5820           -            472  1.3e-231  767.9   8.9   1   4  9.4e-121  5.1e-118  393.3   0.2     6   215    24   235    20   249 0.97 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 4609at5820           -            472   1.7e-09   35.5  13.2   4   4     0.095        52    0.9   0.6    97   148  1186  1240  1181  1264 0.75 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4609at5820           -            472   3.1e-09   34.6  26.2   1   4   1.8e-09     1e-06   26.4   5.7   108   297   141   337   132   338 0.80 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4609at5820           -            472   3.1e-09   34.6  26.2   2   4   1.8e-07   9.7e-05   19.8   4.6    58   201   247   384   241   393 0.83 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4609at5820           -            472   3.1e-09   34.6  26.2   3   4   0.00046      0.25    8.6   2.5   228   347   381   501   368   508 0.77 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4609at5820           -            472   3.1e-09   34.6  26.2   4   4    0.0063       3.4    4.8   2.8    96   165   508   576   498   595 0.80 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 4609at5820           -            472   5.1e-07   27.3   8.8   1   1   9.3e-10   5.1e-07   27.3   8.8    53   154   202   301   149   337 0.78 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 4609at5820           -            472   0.00057   17.3   1.4   1   2    0.0026       1.4    6.1   0.2    83   188   247   351   243   365 0.74 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 4609at5820           -            472   0.00057   17.3   1.4   2   2   0.00024      0.13    9.5   0.1   332   386   435   489   421   521 0.88 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410400.1-p1   -            302 4609at5820           -            472     0.001   16.4   5.7   1   2   2.1e-05     0.011   13.0   0.5    93   149    58   114    43   133 0.71 | transcript=PVP01_0410400.1 | gene=PVP01_0410400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:428389-429297(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410400.1-p1   -            302 4609at5820           -            472     0.001   16.4   5.7   2   2    0.0027       1.5    6.0   0.6    15   156   135   280   131   294 0.76 | transcript=PVP01_0410400.1 | gene=PVP01_0410400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:428389-429297(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728600.1-p1   -           1161 4609at5820           -            472    0.0011   16.3  13.5   1   4      0.49   2.7e+02   -1.4   0.2   384   462   355   434   348   444 0.71 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728600.1-p1   -           1161 4609at5820           -            472    0.0011   16.3  13.5   2   4     2e-06    0.0011   16.3  13.5   212   374   445   616   435   646 0.71 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728600.1-p1   -           1161 4609at5820           -            472    0.0011   16.3  13.5   3   4   0.00045      0.24    8.6   1.0    59   127   662   730   651   736 0.91 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728600.1-p1   -           1161 4609at5820           -            472    0.0011   16.3  13.5   4   4       2.7   1.5e+03   -3.8   0.1    91   125  1061  1095  1057  1107 0.68 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 4609at5820           -            472      0.16    9.2  12.5   1   2   4.2e-05     0.023   12.0   3.2   349   414   251   316   205   330 0.77 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 4609at5820           -            472      0.16    9.2  12.5   2   2     0.042        23    2.1   1.9    69   161   469   558   457   593 0.63 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811700.1-p1   -            543 4609at5820           -            472      0.21    8.8  56.4   1   4   2.2e-05     0.012   12.9   0.8    13    93    44   123    36   124 0.82 | transcript=PVP01_0811700.1 | gene=PVP01_0811700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:496985-498616(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811700.1-p1   -            543 4609at5820           -            472      0.21    8.8  56.4   2   4   8.7e-06    0.0047   14.3  23.8   233   394   115   281   109   297 0.84 | transcript=PVP01_0811700.1 | gene=PVP01_0811700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:496985-498616(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811700.1-p1   -            543 4609at5820           -            472      0.21    8.8  56.4   3   4       4.7   2.6e+03   -4.7   6.6   333   371   323   361   303   402 0.72 | transcript=PVP01_0811700.1 | gene=PVP01_0811700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:496985-498616(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811700.1-p1   -            543 4609at5820           -            472      0.21    8.8  56.4   4   4     0.019        10    3.2   4.3   334   377   489   534   466   542 0.79 | transcript=PVP01_0811700.1 | gene=PVP01_0811700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:496985-498616(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0711500.1-p1   -            769 4609at5820           -            472       3.9    4.6  30.8   1   5     0.055        30    1.7   2.4   401   460   239   301   224   310 0.81 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0711500.1-p1   -            769 4609at5820           -            472       3.9    4.6  30.8   2   5    0.0082       4.4    4.4   0.0    54    86   433   465   425   487 0.84 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0711500.1-p1   -            769 4609at5820           -            472       3.9    4.6  30.8   3   5      0.45   2.4e+02   -1.3   1.2   358   386   515   543   509   585 0.67 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0711500.1-p1   -            769 4609at5820           -            472       3.9    4.6  30.8   4   5      0.01       5.5    4.1   0.7   334   388   609   666   589   671 0.76 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0711500.1-p1   -            769 4609at5820           -            472       3.9    4.6  30.8   5   5   4.9e-05     0.027   11.8   2.9    50   114   661   725   658   739 0.86 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4609at5820           -            472       4.4    4.5  26.2   1   5      0.87   4.7e+02   -2.2   0.1    92   120    93   124    83   137 0.51 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4609at5820           -            472       4.4    4.5  26.2   2   5     0.021        11    3.1   0.1    52    90   185   223   182   238 0.75 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4609at5820           -            472       4.4    4.5  26.2   3   5    0.0019         1    6.5   2.8   235   273   341   381   329   389 0.76 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4609at5820           -            472       4.4    4.5  26.2   4   5     0.056        30    1.7   0.2    58   125   549   623   541   648 0.54 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4609at5820           -            472       4.4    4.5  26.2   5   5     0.038        21    2.3   0.1   284   328   749   794   736   810 0.56 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:28 2026
# [ok]
