#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1441300.1-p1   -            440 8774at5820           -            361  9.6e-199  658.2  31.2   1   2   4.3e-10   9.4e-07   26.5   5.0     1    70     1    79     1    95 0.85 | transcript=PVP01_1441300.1 | gene=PVP01_1441300 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=PvP01_14_v2:1788405-1790686(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   7   7   1.1e-20   2.5e-17   61.4   0.8   200   348  3065  3226  2954  3237 0.77 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8774at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
