#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1635at5820           -            845   2.5e-22   77.2  29.0   3   4     0.077   1.3e+02   -1.2   4.0   465   597   773   901   756   928 0.66 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1635at5820           -            845   2.5e-22   77.2  29.0   4   4      0.55     9e+02   -4.1   3.2   726   794  1027  1100  1010  1126 0.66 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 1635at5820           -            845   1.6e-05   21.6   0.6   1   2   9.7e-09   1.6e-05   21.6   0.6    49   204    56   207    35   218 0.85 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 1635at5820           -            845   1.6e-05   21.6   0.6   2   2      0.11   1.7e+02   -1.7   0.1   363   393   459   490   449   510 0.79 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1635at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:50 2026
# [ok]
