#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1102300.1-p1   -            176 12801at5820          -            151   7.3e-90  297.2  15.0   1   1   1.3e-92   8.4e-90  297.0  15.0     1   151     1   157     1   157 0.97 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 12801at5820          -            151   8.8e-07   27.5  31.5   3   5   3.9e-07   0.00025   19.5  11.1    44   113   107   175   106   227 0.82 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 12801at5820          -            151   8.8e-07   27.5  31.5   4   5      0.16   1.1e+02    1.3   2.7    62   112   192   244   168   264 0.51 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 12801at5820          -            151   8.8e-07   27.5  31.5   5   5      0.78   5.1e+02   -0.9   1.0    38    73   238   271   218   279 0.57 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 12801at5820          -            151     9e-07   27.5   9.1   1   3   0.00097      0.63    8.5   0.5    72   122    41    90    26    96 0.82 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 12801at5820          -            151     9e-07   27.5   9.1   2   3     4e-07   0.00026   19.5   0.5    45    96   104   156    92   160 0.89 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 12801at5820          -            151     9e-07   27.5   9.1   3   3     0.025        16    3.9   0.1   120   151   160   192   157   192 0.80 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238500.1-p1   -            250 12801at5820          -            151   3.6e-05   22.3   1.5   1   3      0.54   3.5e+02   -0.4   1.3    43    83    76   117    40   130 0.61 | transcript=PVP01_1238500.1 | gene=PVP01_1238500 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:1528434-1529529(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238500.1-p1   -            250 12801at5820          -            151   3.6e-05   22.3   1.5   2   3   2.3e-05     0.015   13.8   5.2    13    97   111   202   102   208 0.76 | transcript=PVP01_1238500.1 | gene=PVP01_1238500 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:1528434-1529529(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238500.1-p1   -            250 12801at5820          -            151   3.6e-05   22.3   1.5   3   3   5.5e-08   3.6e-05   22.3   1.5    82   149   162   234   156   236 0.82 | transcript=PVP01_1238500.1 | gene=PVP01_1238500 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:1528434-1529529(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 12801at5820          -            151    0.0018   16.8   9.9   1   2   2.8e-06    0.0018   16.8   9.9    19   150    24   159     1   160 0.82 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 12801at5820          -            151    0.0018   16.8   9.9   2   2         3     2e+03   -2.8   0.1    34    59   280   305   269   327 0.68 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12801at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12801at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12801at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:55 2026
# [ok]
