#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0937700.1-p1   -            381 9800at5820           -            308  1.2e-172  571.7  58.5   1   3   1.5e-32   4.6e-30  103.4   1.6     1    60     1    60     1    81 0.92 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 9800at5820           -            308   2.6e-12   45.2   0.2   1   1   2.2e-14   6.9e-12   43.8   0.2    72   137    50   115    46   153 0.93 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 9800at5820           -            308   3.6e-12   44.7   1.4   1   1   1.7e-14   5.4e-12   44.1   0.8    71   139    39   109    21   122 0.89 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 9800at5820           -            308   1.6e-11   42.6   1.0   1   2     5e-14   1.6e-11   42.6   1.0    71   138    23    87    15   110 0.89 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 9800at5820           -            308   1.6e-11   42.6   1.0   2   2      0.74   2.3e+02   -0.7   1.9   246   280   362   397   337   407 0.76 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 9800at5820           -            308     2e-11   42.3   2.9   1   2   6.3e-14     2e-11   42.3   2.9    72   156    51   136    44   190 0.72 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 9800at5820           -            308     2e-11   42.3   2.9   2   2       3.1   9.5e+02   -2.7   0.1    20    62   263   308   249   328 0.66 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 9800at5820           -            308   1.2e-10   39.7   1.3   1   1   5.6e-13   1.7e-10   39.2   0.6    73   137    83   151    64   168 0.86 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 9800at5820           -            308   1.8e-10   39.1   0.5   1   1     2e-12   6.2e-10   37.3   0.5    72   136    31    93    19   100 0.93 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 9800at5820           -            308   9.2e-10   36.8   1.0   1   1     3e-12   9.2e-10   36.8   1.0    70   140     3    79     1    86 0.86 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 9800at5820           -            308     5e-09   34.4   0.1   1   1   3.1e-11   9.6e-09   33.4   0.1    74   139   303   369   298   390 0.90 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 9800at5820           -            308     3e-07   28.5   1.9   1   2   9.8e-10     3e-07   28.5   1.9    73   137    69   133    45   160 0.86 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 9800at5820           -            308     3e-07   28.5   1.9   2   2      0.38   1.2e+02    0.3   0.7    28    68   148   185   131   195 0.56 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408100.1-p1   -            337 9800at5820           -            308   5.3e-07   27.7   5.2   1   1   1.7e-09   5.3e-07   27.7   5.2    47   136    85   177    69   185 0.75 | transcript=PVP01_1408100.1 | gene=PVP01_1408100 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_14_v2:380480-381493(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 9800at5820           -            308   2.5e-06   25.5   0.1   1   1   1.3e-08     4e-06   24.9   0.1    75   141    79   145    65   164 0.88 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 9800at5820           -            308   7.6e-05   20.6   0.1   1   2   2.5e-07   7.6e-05   20.6   0.1    75   110     8    43     4    62 0.90 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 9800at5820           -            308   7.6e-05   20.6   0.1   2   2      0.92   2.8e+02   -1.0   0.3   102   103   112   113    63   164 0.57 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 9800at5820           -            308   0.00018   19.4   1.7   1   2   8.2e-07   0.00025   18.9   0.1    71   136   125   191   117   198 0.80 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 9800at5820           -            308   0.00018   19.4   1.7   2   2       1.7   5.1e+02   -1.8   0.1   183   196   222   235   214   291 0.67 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 9800at5820           -            308   0.00035   18.5   0.0   1   3   1.1e-06   0.00035   18.5   0.0    75   108     8    41     4    57 0.89 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 9800at5820           -            308   0.00035   18.5   0.0   2   3      0.05        16    3.2   0.2   111   137   114   140    84   146 0.83 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 9800at5820           -            308   0.00035   18.5   0.0   3   3       1.3   3.9e+02   -1.4   0.1   234   254   153   177   149   199 0.68 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9800at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9800at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9800at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:44 2026
# [ok]
