#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1032200.1-p1   -            177 13470at5820          -            123   5.7e-68  225.2   9.5   1   2     1e-21     3e-19   67.9   0.1     2    44     7    49     6    57 0.95 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 13470at5820          -            123   7.3e-07   27.9   0.1   1   1   4.5e-09   1.3e-06   27.0   0.1     2    69    42   108    41   111 0.88 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 13470at5820          -            123   5.5e-06   25.0   0.1   1   1   8.2e-08   2.4e-05   23.0   0.1     3    68   129   192   127   197 0.91 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 13470at5820          -            123   1.6e-05   23.6   0.2   1   3   5.3e-08   1.6e-05   23.6   0.2     2    38   173   209   172   219 0.86 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 13470at5820          -            123   1.6e-05   23.6   0.2   2   3         5   1.5e+03   -2.2   0.1    62    82   394   414   384   423 0.75 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 13470at5820          -            123   1.6e-05   23.6   0.2   3   3       7.5   2.2e+03   -2.7   0.1    12    36   420   444   412   451 0.65 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 13470at5820          -            123   2.8e-05   22.8   0.1   1   1   1.6e-07   4.8e-05   22.0   0.1     1    44    77   120    77   149 0.77 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 13470at5820          -            123   2.9e-05   22.7   0.9   1   2   5.2e-07   0.00015   20.4   0.0     3    39     8    44     6    53 0.87 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 13470at5820          -            123   2.9e-05   22.7   0.9   2   2       1.9   5.5e+02   -0.8   0.2    53    78   233   257   222   264 0.70 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 13470at5820          -            123   3.6e-05   22.4   0.7   1   1   3.3e-07   9.9e-05   21.0   0.7     4    68    47   108    44   138 0.75 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 13470at5820          -            123   3.7e-05   22.4   0.1   1   1   2.2e-07   6.4e-05   21.6   0.1     3    66     6    68     4    94 0.79 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 13470at5820          -            123   3.8e-05   22.3   1.2   1   3       1.9   5.8e+02   -0.8   0.1    63    87     4    28     2    33 0.88 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 13470at5820          -            123   3.8e-05   22.3   1.2   2   3   1.3e-07   3.8e-05   22.3   1.2     2    81   190   266   189   302 0.76 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 13470at5820          -            123   3.8e-05   22.3   1.2   3   3       2.1   6.4e+02   -1.0   0.3    29    60   298   329   271   373 0.65 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 13470at5820          -            123   0.00012   20.7   0.4   1   2   4.1e-07   0.00012   20.7   0.4     2    59    81   138    80   151 0.74 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 13470at5820          -            123   0.00012   20.7   0.4   2   2         5   1.5e+03   -2.2   0.0    74    91   306   323   300   325 0.76 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436600.1-p1   -             84 13470at5820          -            123   0.00027   19.6   0.2   1   1   1.1e-06   0.00033   19.3   0.2    65   122    13    71     2    78 0.79 | transcript=PVP01_1436600.1 | gene=PVP01_1436600 | organism=Plasmodium_vivax_P01 | gene_product=diphthamide biosynthesis protein 3, putative | transcript_product=diphthamide biosynthesis protein 3, putative | location=PvP01_14_v2:1537139-1537393(-) | protein_length=84 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942800.1-p1   -           2777 13470at5820          -            123   0.00048   18.8   6.1   1   2       0.4   1.2e+02    1.4   0.7    74   113   910   949   892   956 0.81 | transcript=PVP01_0942800.1 | gene=PVP01_0942800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain-containing protein, putative | transcript_product=DnaJ domain-containing protein, putative | location=PvP01_09_v2:1888303-1896636(-) | protein_length=2777 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942800.1-p1   -           2777 13470at5820          -            123   0.00048   18.8   6.1   2   2   3.6e-06    0.0011   17.6   0.5     3    62  1317  1380  1315  1398 0.76 | transcript=PVP01_0942800.1 | gene=PVP01_0942800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain-containing protein, putative | transcript_product=DnaJ domain-containing protein, putative | location=PvP01_09_v2:1888303-1896636(-) | protein_length=2777 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 13470at5820          -            123    0.0006   18.5   0.2   1   2     2e-06    0.0006   18.5   0.2     2    71    52   118    51   152 0.85 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 13470at5820          -            123    0.0006   18.5   0.2   2   2       3.7   1.1e+03   -1.8   0.2    78   117   178   219   160   261 0.63 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 13470at5820          -            123    0.0011   17.6   0.8   1   1   7.9e-06    0.0024   16.6   0.8     3    67    85   150    83   172 0.79 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 13470at5820          -            123    0.0062   15.2   0.2   1   1   4.6e-05     0.014   14.1   0.2     4    67   305   366   302   417 0.76 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 13470at5820          -            123     0.028   13.1   0.4   1   3   9.6e-05     0.028   13.1   0.4     1    39    53    91    53   116 0.82 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 13470at5820          -            123     0.028   13.1   0.4   2   3       1.6   4.8e+02   -0.6   0.3    77   113   103   141    89   148 0.55 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 13470at5820          -            123     0.028   13.1   0.4   3   3       3.2   9.6e+02   -1.6   0.1     8    30   285   307   277   316 0.54 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 13470at5820          -            123     0.097   11.3   0.2   1   3       4.4   1.3e+03   -2.0   0.1   110   119    95   104    85   107 0.80 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 13470at5820          -            123     0.097   11.3   0.2   2   3   0.00033     0.097   11.3   0.2    15    66   127   179   116   197 0.70 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 13470at5820          -            123     0.097   11.3   0.2   3   3       5.5   1.6e+03   -2.3   0.1    53    65   244   256   220   262 0.54 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13470at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:26 2026
# [ok]
