#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1136400.1-p1   -            362 10105at5820          -            265  3.4e-102  339.6  16.0   1   1  3.9e-101   2.5e-98  326.9  16.0     6   249    24   320    21   325 0.84 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10105at5820          -            265   1.4e-38  131.1  68.2   4   9   1.4e-08   9.4e-06   23.4   0.3    73   244   805   978   792   991 0.76 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10105at5820          -            265   1.4e-38  131.1  68.2   5   9      0.68   4.4e+02   -1.7   0.0   131   177  1033  1074  1026  1078 0.57 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10105at5820          -            265   1.4e-38  131.1  68.2   6   9   2.7e-12   1.8e-09   35.6  10.9    50   242  1131  1339  1121  1347 0.66 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10105at5820          -            265   1.4e-38  131.1  68.2   7   9   1.6e-09   1.1e-06   26.5   8.9    82   233  1536  1720  1459  1735 0.62 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10105at5820          -            265   1.4e-38  131.1  68.2   8   9      0.33   2.1e+02   -0.7   0.0    26    66  1856  1900  1843  1905 0.71 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10105at5820          -            265   1.4e-38  131.1  68.2   9   9   6.9e-13   4.5e-10   37.6   2.7    94   188  2030  2119  1987  2175 0.82 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 10105at5820          -            265   1.2e-18   65.7  11.4   1   2   2.5e-14   1.6e-11   42.3   4.8    25   185    55   227    22   242 0.73 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 10105at5820          -            265   1.2e-18   65.7  11.4   2   2   1.6e-09     1e-06   26.6   0.5   119   262   269   427   253   430 0.62 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 10105at5820          -            265   1.7e-18   65.2  11.6   1   2   6.7e-06    0.0044   14.7   2.0     8   104    24   122    19   141 0.72 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 10105at5820          -            265   1.7e-18   65.2  11.6   2   2   2.1e-18   1.4e-15   55.7   2.3   105   227   223   346   217   370 0.76 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 10105at5820          -            265   8.2e-13   46.6   9.0   1   2   1.9e-15   1.3e-12   46.0   6.4    45   204    72   231    43   254 0.78 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 10105at5820          -            265   8.2e-13   46.6   9.0   2   2       0.1        68    0.9   0.0   219   243   269   298   261   308 0.64 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 10105at5820          -            265   2.9e-11   41.5   0.1   1   2   2.9e-08   1.9e-05   22.4   0.0    24   145   103   230    95   237 0.71 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 10105at5820          -            265   2.9e-11   41.5   0.1   2   2   1.4e-06   0.00092   16.9   0.0   141   204   289   355   282   404 0.75 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 10105at5820          -            265   1.6e-06   26.0   8.6   1   2   7.7e-09     5e-06   24.3   7.6    17   227    39   262    30   268 0.73 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 10105at5820          -            265   1.6e-06   26.0   8.6   2   2     0.025        17    2.9   0.1    44    64   210   230   205   286 0.72 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303700.1-p1   -            353 10105at5820          -            265   9.8e-06   23.4   5.7   1   4       3.1     2e+03   -3.9   1.7   212   232    33    51    25    54 0.74 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303700.1-p1   -            353 10105at5820          -            265   9.8e-06   23.4   5.7   2   4      0.13        87    0.6   1.6   159   178    80    99    66   175 0.55 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303700.1-p1   -            353 10105at5820          -            265   9.8e-06   23.4   5.7   3   4   1.5e-08   9.8e-06   23.4   5.7    92   186   164   266   121   285 0.73 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303700.1-p1   -            353 10105at5820          -            265   9.8e-06   23.4   5.7   4   4     0.023        15    3.1   0.0   219   247   318   346   309   352 0.80 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010840.1-p1   -            289 10105at5820          -            265   0.00017   19.3   7.5   1   1   4.6e-07    0.0003   18.5   7.5   125   204    79   164    39   224 0.81 | transcript=PVP01_0010840.1 | gene=PVP01_0010840 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Transfer.PvP01_00_199.final:117-1199(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10105at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10105at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10105at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:39 2026
# [ok]
