#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1024600.1-p1   -           2740 395at5820            -           2124         0 3753.7  32.6   1   3         0         0 2637.6   8.6     1  1398     1  1726     1  1732 0.95 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   2   8     4e-17   9.4e-15   51.3   0.1   461   569   326   438   304   448 0.84 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   3   8   1.3e-39   3.1e-37  125.9   0.2   576   723   499   642   480   648 0.89 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   4   8   1.1e-05    0.0025   13.5   0.4   763   803   650   690   643   777 0.78 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   5   8     6e-39   1.4e-36  123.7   0.3  1234  1368   853   987   831  1011 0.90 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   6   8      0.43     1e+02   -1.8   0.3  1803  1907  1104  1207  1092  1217 0.66 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   7   8   5.3e-22   1.2e-19   67.5   0.7  1452  1539  1440  1529  1427  1620 0.82 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 395at5820            -           2124  3.4e-131  437.5  50.3   8   8   3.3e-19   7.8e-17   58.3   1.6  1997  2113  1794  1911  1772  1918 0.91 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107800.1-p1   -            325 395at5820            -           2124     0.011   11.3  17.9   1   1   5.6e-05     0.013   11.1  17.9  1707  1889    17   207     2   224 0.53 | transcript=PVP01_0107800.1 | gene=PVP01_0107800 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 10, putative | transcript_product=mediator of RNA polymerase II transcription subunit 10, putative | location=PvP01_01_v2:390005-390982(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 395at5820            -           2124     0.018   10.6  29.1   1   1   9.8e-05     0.023   10.3  29.1  1716  1880    87   259    54   275 0.57 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 395at5820            -           2124     0.022   10.3  15.4   1   1   0.00013      0.03    9.9  15.4  1728  1793   101   160    79   182 0.40 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 395at5820            -           2124      0.03    9.9  42.0   1   2   3.2e-05    0.0074   11.9  24.8  1720  1822   251   353   212   368 0.59 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 395at5820            -           2124      0.03    9.9  42.0   2   2    0.0093       2.2    3.7   9.2  1735  1905   441   614   425   636 0.56 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 395at5820            -           2124     0.043    9.3   3.2   1   1   0.00021     0.048    9.2   3.2  1649  1794     5   149     2   156 0.51 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 395at5820            -           2124     0.057    9.0  11.5   1   1   0.00035     0.081    8.4  11.5  1726  1781   112   167    92   267 0.72 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 395at5820            -           2124     0.068    8.7  25.5   1   1   0.00034      0.08    8.5  25.5  1716  1847    65   196    49   245 0.36 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0532200.1-p1   -            289 395at5820            -           2124      0.11    8.0  10.6   1   1   0.00059      0.14    7.7  10.6  1733  1867    49   187    30   201 0.36 | transcript=PVP01_0532200.1 | gene=PVP01_0532200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1356103-1357108(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331200.1-p1   -            228 395at5820            -           2124      0.13    7.7  18.1   1   1    0.0007      0.16    7.4  18.1  1672  1796    31   154    25   194 0.47 | transcript=PVP01_1331200.1 | gene=PVP01_1331200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1308345-1309900(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440900.1-p1   -            193 395at5820            -           2124      0.24    6.9  14.0   1   1    0.0011      0.25    6.8  14.0  1722  1831    40   150     6   184 0.70 | transcript=PVP01_1440900.1 | gene=PVP01_1440900 | organism=Plasmodium_vivax_P01 | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=PvP01_14_v2:1778819-1779400(+) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 395at5820            -           2124       1.4    4.4  16.4   1   1     0.009       2.1    3.8  16.4  1727  1793   190   260   135   328 0.52 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832500.1-p1   -           1682 395at5820            -           2124       1.7    4.1  23.4   1   1     0.012       2.8    3.3  23.4  1653  1849  1358  1568  1342  1582 0.69 | transcript=PVP01_0832500.1 | gene=PVP01_0832500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 10, putative | transcript_product=apicomplexan kinetochore protein 10, putative | location=PvP01_08_v2:1398138-1404116(+) | protein_length=1682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 395at5820            -           2124       1.7    4.1  40.4   1   1    0.0093       2.2    3.7  40.4  1678  1799   107   234    77   284 0.47 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426700.1-p1   -            270 395at5820            -           2124       1.8    4.0  22.3   1   1    0.0077       1.8    4.0  22.3  1671  1836     7   173     1   252 0.47 | transcript=PVP01_1426700.1 | gene=PVP01_1426700 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor SUI1, putative | transcript_product=translation initiation factor SUI1, putative | location=PvP01_14_v2:1136019-1137402(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 395at5820            -           2124       2.1    3.8  16.4   1   1      0.01       2.4    3.6  16.4  1690  1774    39   119    31   136 0.43 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 395at5820            -           2124       2.1    3.8  19.3   1   1     0.012       2.7    3.4  19.3  1714  1842   254   380   231   422 0.38 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415700.1-p1   -            731 395at5820            -           2124       2.1    3.8  20.4   1   1     0.014       3.2    3.2  20.4  1676  1884   144   332   120   352 0.33 | transcript=PVP01_0415700.1 | gene=PVP01_0415700 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 1, putative | transcript_product=patatin-like phospholipase 1, putative | location=PvP01_04_v2:632349-634916(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 395at5820            -           2124       2.2    3.7  12.1   1   1    0.0085         2    3.8  12.1  1707  1776    85   154    17   158 0.60 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 395at5820            -           2124       2.3    3.6  25.1   1   1     0.015       3.4    3.0  25.1  1675  1806   128   255   104   282 0.61 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310100.1-p1   -           1426 395at5820            -           2124       2.4    3.6  22.6   1   1     0.019       4.5    2.7  22.6  1684  1860  1239  1420  1171  1426 0.56 | transcript=PVP01_0310100.1 | gene=PVP01_0310100 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 3, putative | transcript_product=apicomplexan kinetochore protein 3, putative | location=PvP01_03_v2:457435-461715(+) | protein_length=1426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 395at5820            -           2124       3.4    3.0  19.7   1   1      0.02       4.6    2.6  19.7  1712  1845    35   160    14   205 0.38 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 395at5820            -           2124       3.5    3.0  19.0   1   1     0.016       3.8    2.9  19.0  1710  1809   178   276    87   281 0.50 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944300.1-p1   -            324 395at5820            -           2124       5.1    2.5  20.8   1   1     0.027       6.2    2.2  20.8  1739  1880   138   275    94   289 0.55 | transcript=PVP01_0944300.1 | gene=PVP01_0944300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1951679-1952653(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0106500.1-p1   -            162 395at5820            -           2124         6    2.2   7.8   1   1     0.026         6    2.2   7.8  1720  1818     5   100     1   145 0.37 | transcript=PVP01_0106500.1 | gene=PVP01_0106500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 11, putative | transcript_product=apicomplexan kinetochore protein 11, putative | location=PvP01_01_v2:338072-338769(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 395at5820            -           2124         9    1.7  14.9   1   1     0.039         9    1.7  14.9  1717  1796    14    91     1   119 0.39 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/395at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/395at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/395at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:40 2026
# [ok]
