#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1030000.1-p1   -           1914 595at5820            -           1280         0 2430.5 111.5   1   7   4.6e-89   7.5e-86  287.5   8.2     1   181     1   192     1   198 0.93 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 595at5820            -           1280   1.1e-35  121.3  69.1   5   6     7e-12   1.1e-08   31.8   0.2   921   979  1292  1350  1219  1357 0.82 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 595at5820            -           1280   1.1e-35  121.3  69.1   6   6    0.0031       5.1    3.2  18.5   980  1185  1438  1634  1429  1668 0.71 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 595at5820            -           1280   2.5e-21   73.7   3.9   1   3   1.4e-13   2.2e-10   37.5   2.7   215   561   196   555   187   603 0.71 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 595at5820            -           1280   2.5e-21   73.7   3.9   2   3     0.008        13    1.8   0.0   786   822   831   867   752   871 0.78 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 595at5820            -           1280   2.5e-21   73.7   3.9   3   3   7.8e-12   1.3e-08   31.6   0.0   910  1008   893   994   873  1025 0.80 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 595at5820            -           1280   2.9e-14   50.4  10.4   1   3   1.7e-12   2.7e-09   33.9   2.1   235   552    27   376     8   415 0.67 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 595at5820            -           1280   2.9e-14   50.4  10.4   2   3      0.21   3.4e+02   -2.9   0.2   705   817   649   776   630   782 0.67 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 595at5820            -           1280   2.9e-14   50.4  10.4   3   3   7.4e-09   1.2e-05   21.8   0.1   930  1015   847   934   815  1032 0.85 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/595at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/595at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:16 2026
# [ok]
