#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1265000.1-p1   -            185 12531at5820          -            161   2.6e-95  315.3  14.7   1   1   6.7e-97   2.3e-94  312.3  14.7     1   161     1   181     1   181 0.92 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12531at5820          -            161   9.7e-05   20.9   3.8   1   1   8.5e-07   0.00029   19.4   3.7    46   118    54   125     7   136 0.59 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 12531at5820          -            161    0.0002   19.9   3.5   1   1   9.4e-07   0.00032   19.2   3.2    13   145    11   159     2   175 0.68 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701600.1-p1   -            206 12531at5820          -            161   0.00021   19.8   1.0   1   1   2.5e-06   0.00086   17.9   1.0     8   134     4   144     2   158 0.67 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463900.1-p1   -            261 12531at5820          -            161   0.00068   18.2   0.7   1   1   4.6e-06    0.0016   17.0   0.7    12   120    63   184    50   211 0.76 | transcript=PVP01_1463900.1 | gene=PVP01_1463900 | organism=Plasmodium_vivax_P01 | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=PvP01_14_v2:2746065-2747351(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 12531at5820          -            161   0.00081   17.9   0.0   1   1   2.9e-06     0.001   17.6   0.0    50   152    57   162     8   171 0.72 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 12531at5820          -            161   0.00091   17.8   0.6   1   1   5.4e-06    0.0018   16.8   0.6    48   130    60   141    10   177 0.70 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 12531at5820          -            161    0.0038   15.8   0.3   1   1   4.1e-05     0.014   13.9   0.3    14   120    11   129     7   178 0.73 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256000.1-p1   -            789 12531at5820          -            161    0.0058   15.2   0.1   1   2         5   1.7e+03   -2.6   0.0    11    29    16    34    12    47 0.82 | transcript=PVP01_1256000.1 | gene=PVP01_1256000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2301780-2304149(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256000.1-p1   -            789 12531at5820          -            161    0.0058   15.2   0.1   2   2   5.6e-05     0.019   13.5   0.1    44    90    71   118    62   137 0.77 | transcript=PVP01_1256000.1 | gene=PVP01_1256000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2301780-2304149(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12531at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12531at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12531at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:09 2026
# [ok]
