#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0941200.1-p1   -           1716 656at5820            -           1340         0 2351.0 121.5   1   3  2.6e-276  2.8e-273  908.5  42.2     1   536     1   688     1   698 0.88 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030300.1-p1   -            800 656at5820            -           1340   1.1e-59  200.9  65.1   1   3   6.7e-18   7.2e-15   52.4   5.5    87   222    69   198    50   208 0.75 | transcript=PVP01_1030300.1 | gene=PVP01_1030300 | organism=Plasmodium_vivax_P01 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=PvP01_10_v2:1304867-1308631(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030300.1-p1   -            800 656at5820            -           1340   1.1e-59  200.9  65.1   2   3   4.4e-25   4.8e-22   76.2   4.9   266   368   201   305   196   329 0.88 | transcript=PVP01_1030300.1 | gene=PVP01_1030300 | organism=Plasmodium_vivax_P01 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=PvP01_10_v2:1304867-1308631(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030300.1-p1   -            800 656at5820            -           1340   1.1e-59  200.9  65.1   3   3   2.4e-26   2.6e-23   80.4  40.1   423   912   331   772   314   778 0.78 | transcript=PVP01_1030300.1 | gene=PVP01_1030300 | organism=Plasmodium_vivax_P01 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=PvP01_10_v2:1304867-1308631(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 656at5820            -           1340   2.2e-48  163.4  21.2   1   2   2.3e-28   2.5e-25   87.0   0.5    98   377   102   382    77   413 0.73 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 656at5820            -           1340   2.2e-48  163.4  21.2   2   2   4.4e-26   4.7e-23   79.5  14.4   505   980   504   992   488  1018 0.76 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 656at5820            -           1340   7.9e-23   78.7  33.2   1   4     1e-19   1.1e-16   58.4   9.4    65   327    44   345    34   353 0.72 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 656at5820            -           1340   7.9e-23   78.7  33.2   2   4      0.39   4.2e+02   -3.2   2.8   233   281   482   530   462   570 0.46 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 656at5820            -           1340   7.9e-23   78.7  33.2   3   4   4.3e-13   4.7e-10   36.4  15.8   410   794   555   973   502   998 0.70 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 656at5820            -           1340   7.9e-23   78.7  33.2   4   4       1.7   1.9e+03   -5.3   3.3    45   114  1851  1920  1828  1964 0.52 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/656at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:32 2026
# [ok]
