#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0616300.1-p1   -            369 6781at5820           -            324  8.7e-193  638.3  63.2   1   1    2e-195  1.1e-192  638.0  63.2     1   316    11   338    11   353 0.97 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 6781at5820           -            324   6.1e-12   44.0  30.5   1   2   8.2e-07   0.00044   18.2  11.7    14   138    70   210    54   233 0.71 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 6781at5820           -            324   6.1e-12   44.0  30.5   2   2   1.8e-10   9.6e-08   30.2  10.9    65   137   255   342   249   355 0.76 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322900.1-p1   -            148 6781at5820           -            324     4e-11   41.3   5.8   1   1   7.4e-14     4e-11   41.3   5.8   105   169    11    73     5    79 0.92 | transcript=PVP01_1322900.1 | gene=PVP01_1322900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1036981-1037924(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 6781at5820           -            324   1.5e-10   39.5  10.6   1   1   6.7e-13   3.7e-10   38.2  10.6    86   222    36   172    29   177 0.86 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 6781at5820           -            324     1e-08   33.4   6.4   1   1   4.5e-11   2.4e-08   32.2   6.4    48   113   118   184    82   209 0.80 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 6781at5820           -            324   4.2e-05   21.6   1.3   1   1   1.4e-07   7.6e-05   20.7   1.3   227   283    16    74    12    98 0.66 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 6781at5820           -            324    0.0013   16.7   8.3   1   2   4.5e-06    0.0024   15.8   2.4   252   289    18    56     7    85 0.76 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 6781at5820           -            324    0.0013   16.7   8.3   2   2     0.024        13    3.5   0.9   110   134    88   112    65   138 0.69 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6781at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6781at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6781at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:33 2026
# [ok]
