#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0931800.1-p1   -            156 14831at5820          -            106   2.2e-37  126.0  12.2   1   2   1.2e-39   2.2e-37  126.0  12.2     1   101     1   112     1   119 0.78 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14831at5820          -            106   1.2e-06   27.1   0.2   3   3      0.06        11    4.8   0.1     6    84   374   456   371   478 0.63 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 14831at5820          -            106   1.9e-06   26.5   0.2   1   1   1.3e-08   2.4e-06   26.2   0.2     5    83    15    96    12   110 0.78 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 14831at5820          -            106   2.6e-06   26.1   0.0   1   2   1.4e-08   2.6e-06   26.1   0.0     4    86     6    94     1   112 0.85 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 14831at5820          -            106   2.6e-06   26.1   0.0   2   2       7.1   1.3e+03   -1.9   2.3    80   104   651   675   631   680 0.47 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14831at5820          -            106   2.7e-06   26.1  11.4   1   3   0.00079      0.15   10.8   0.0     6    39    84   117    81   150 0.86 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14831at5820          -            106   2.7e-06   26.1  11.4   2   3    0.0017      0.31    9.8   1.6     3    83   179   267   177   302 0.77 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14831at5820          -            106   2.7e-06   26.1  11.4   3   3    0.0015      0.27   10.0   0.4     6    82   396   478   392   499 0.70 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 14831at5820          -            106   3.3e-06   25.8   2.6   1   1   2.4e-08   4.4e-06   25.4   2.6     4    81     8    91     4   114 0.81 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 14831at5820          -            106   7.6e-06   24.6   0.3   1   1   1.1e-07   2.1e-05   23.2   0.3     6    89    31   120    27   126 0.87 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 14831at5820          -            106     8e-06   24.5  14.7   1   3   5.8e-06    0.0011   17.7   2.2     3    96   226   326   225   341 0.77 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 14831at5820          -            106     8e-06   24.5  14.7   2   3       6.6   1.2e+03   -1.8   1.8    59    86   371   398   329   411 0.56 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 14831at5820          -            106     8e-06   24.5  14.7   3   3   3.9e-05    0.0072   15.0   0.1     5    74   434   503   430   505 0.93 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 14831at5820          -            106   2.8e-05   22.8   0.6   1   2       5.8   1.1e+03   -1.6   0.3    96   102     6    12     2    21 0.51 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 14831at5820          -            106   2.8e-05   22.8   0.6   2   2   1.5e-07   2.8e-05   22.8   0.6     6    73    37   110    32   119 0.79 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14831at5820          -            106   2.9e-05   22.8   8.8   1   4      0.46        86    1.9   0.1    11    75   226   292   213   307 0.59 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14831at5820          -            106   2.9e-05   22.8   8.8   2   4    0.0054         1    8.1   0.2     7    96   416   509   411   517 0.73 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14831at5820          -            106   2.9e-05   22.8   8.8   3   4      0.15        28    3.5   0.0     6    75   562   633   558   661 0.75 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14831at5820          -            106   2.9e-05   22.8   8.8   4   4    0.0006      0.11   11.2   0.1     4    60   678   737   676   756 0.75 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 14831at5820          -            106   3.7e-05   22.4   0.2   1   1     2e-07   3.7e-05   22.4   0.2     4    82    96   179    92   195 0.81 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 14831at5820          -            106   4.2e-05   22.2   1.6   1   2   7.6e-05     0.014   14.1   1.4     3    83     9    96     8   117 0.76 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 14831at5820          -            106   4.2e-05   22.2   1.6   2   2     0.019       3.6    6.4   0.0     5    55   121   171   117   177 0.91 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 14831at5820          -            106   6.8e-05   21.5   2.1   1   2   3.6e-07   6.8e-05   21.5   2.1     5    82     9    91     6   105 0.84 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 14831at5820          -            106   6.8e-05   21.5   2.1   2   2       6.7   1.3e+03   -1.8   0.0    13    42   130   159   121   166 0.71 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030600.1-p1   -            328 14831at5820          -            106   0.00011   20.8   0.0   1   2   6.1e-07   0.00011   20.8   0.0     5    78    13    92    10   105 0.80 | transcript=PVP01_1030600.1 | gene=PVP01_1030600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=PvP01_10_v2:1320761-1321747(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030600.1-p1   -            328 14831at5820          -            106   0.00011   20.8   0.0   2   2       4.5   8.4e+02   -1.3   2.3    71    91   204   222   194   243 0.60 | transcript=PVP01_1030600.1 | gene=PVP01_1030600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=PvP01_10_v2:1320761-1321747(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 14831at5820          -            106   0.00019   20.1   0.5   1   2       9.2   1.7e+03   -2.3   0.8    73    86    83    98    79   119 0.55 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 14831at5820          -            106   0.00019   20.1   0.5   2   2     1e-06   0.00019   20.1   0.5     5    76   167   247   164   278 0.79 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133400.1-p1   -            153 14831at5820          -            106   0.00035   19.3   2.3   1   1   1.9e-06   0.00035   19.3   2.3     6    80    63   142    57   151 0.76 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 14831at5820          -            106   0.00059   18.5   2.3   1   2     0.089        17    4.2   0.1     4    37     9    42     6    68 0.76 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 14831at5820          -            106   0.00059   18.5   2.3   2   2   3.2e-06   0.00059   18.5   2.3     4   100   166   265   163   270 0.84 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837400.1-p1   -            521 14831at5820          -            106   0.00063   18.4   2.4   1   2   0.00045     0.085   11.6   0.3    17    64    94   141    77   159 0.86 | transcript=PVP01_0837400.1 | gene=PVP01_0837400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:1582209-1583932(+) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837400.1-p1   -            521 14831at5820          -            106   0.00063   18.4   2.4   2   2     0.033       6.1    5.6   0.1    64   101   429   467   417   504 0.83 | transcript=PVP01_0837400.1 | gene=PVP01_0837400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:1582209-1583932(+) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14831at5820          -            106    0.0011   17.6   0.4   1   6       4.7   8.7e+02   -1.3   1.2    45    83    50    87    35    97 0.63 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14831at5820          -            106    0.0011   17.6   0.4   2   6       4.4   8.3e+02   -1.2   3.8    75   103   209   228   192   241 0.51 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14831at5820          -            106    0.0011   17.6   0.4   3   6    0.0087       1.6    7.5   0.3    39    80   501   542   491   575 0.74 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14831at5820          -            106    0.0011   17.6   0.4   4   6   6.2e-06    0.0011   17.6   0.4     3    55   713   765   711   775 0.93 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
