#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0609400.1-p1   -            181 13164at5820          -            130   4.4e-74  245.5   3.0   1   1   1.5e-76   5.8e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVP01_0609400.1 | gene=PVP01_0609400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_06_v2:425893-426438(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 13164at5820          -            130    0.0032   16.3   2.0   1   2       2.8   1.1e+03   -1.6   0.1    51    65    63    77    41   105 0.66 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 13164at5820          -            130    0.0032   16.3   2.0   2   2   1.2e-05    0.0044   15.9   0.2    27    95   188   256   167   262 0.75 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214600.1-p1   -            531 13164at5820          -            130    0.0036   16.2   5.5   1   2    0.0002     0.078   11.9   1.5     9    95   231   322   217   341 0.67 | transcript=PVP01_0214600.1 | gene=PVP01_0214600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_02_v2:618578-621291(-) | protein_length=531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214600.1-p1   -            531 13164at5820          -            130    0.0036   16.2   5.5   2   2      0.03        11    4.8   0.1    53   101   413   461   393   466 0.85 | transcript=PVP01_0214600.1 | gene=PVP01_0214600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_02_v2:618578-621291(-) | protein_length=531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 13164at5820          -            130     0.013   14.4   1.9   1   2   5.3e-05      0.02   13.7   0.2    26   101    28   103     8   114 0.73 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 13164at5820          -            130     0.013   14.4   1.9   2   2       3.6   1.4e+03   -1.9   0.1    42    85   443   485   436   496 0.71 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136700.1-p1   -            234 13164at5820          -            130     0.024   13.5   0.5   1   2       2.5   9.5e+02   -1.4   0.1    88   107    31    50    20    72 0.63 | transcript=PVP01_1136700.1 | gene=PVP01_1136700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-tRNA hydrolase, putative | transcript_product=peptidyl-tRNA hydrolase, putative | location=PvP01_11_v2:1561592-1562296(-) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136700.1-p1   -            234 13164at5820          -            130     0.024   13.5   0.5   2   2   6.2e-05     0.024   13.5   0.5    39   101   167   229   155   234 0.85 | transcript=PVP01_1136700.1 | gene=PVP01_1136700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-tRNA hydrolase, putative | transcript_product=peptidyl-tRNA hydrolase, putative | location=PvP01_11_v2:1561592-1562296(-) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 13164at5820          -            130     0.063   12.1   6.5   1   3      0.66   2.5e+02    0.5   0.3    53    97    54    98    35   120 0.72 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 13164at5820          -            130     0.063   12.1   6.5   2   3    0.0002     0.076   11.9   0.1    30    89   134   194   122   205 0.84 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 13164at5820          -            130     0.063   12.1   6.5   3   3      0.52     2e+02    0.8   0.1   104   126   454   476   445   480 0.84 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13164at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:56 2026
# [ok]
