#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1234200.1-p1   -            543 6066at5820           -            462  1.3e-233  774.3  54.0   1   2   4.8e-76   3.9e-73  245.2  19.0     1   189    26   243    26   249 0.89 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 6066at5820           -            462   4.2e-06   24.2  18.3   2   3   1.2e-06   0.00098   16.4   6.6    44   151   228   338   223   360 0.84 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 6066at5820           -            462   4.2e-06   24.2  18.3   3   3      0.88   7.2e+02   -2.9   0.0    29    63   362   396   358   449 0.58 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 6066at5820           -            462   9.3e-05   19.8   0.8   1   2   1.6e-07   0.00013   19.3   0.1   348   417    50   111    43   141 0.75 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 6066at5820           -            462   9.3e-05   19.8   0.8   2   2         1   8.4e+02   -3.1   0.1    59    76   158   175   144   176 0.75 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724000.1-p1   -            133 6066at5820           -            462    0.0039   14.5   0.0   1   1   4.9e-06     0.004   14.4   0.0   335   371    31    69    23   119 0.84 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6066at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6066at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6066at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:59 2026
# [ok]
