#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0510800.1-p1   -            628 7587at5820           -            324    3e-134  446.0  69.3   1   6       1.5   1.9e+03   -3.6   0.6   230   264    13    46     6    54 0.52 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 7587at5820           -            324   4.5e-05   21.5  31.8   2   2         5   6.5e+03   -6.3  12.0   185   281   166   225   136   254 0.40 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614000.1-p1   -            371 7587at5820           -            324      0.68    7.8  21.6   1   2   2.5e-05     0.032   12.1  12.6    74   132    44   106    34   109 0.85 | transcript=PVP01_0614000.1 | gene=PVP01_0614000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=PvP01_06_v2:592922-594177(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614000.1-p1   -            371 7587at5820           -            324      0.68    7.8  21.6   2   2      0.41   5.3e+02   -1.7  10.2    22    55    78   119    72   137 0.65 | transcript=PVP01_0614000.1 | gene=PVP01_0614000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=PvP01_06_v2:592922-594177(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7587at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7587at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7587at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:12 2026
# [ok]
