#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1249400.1-p1   -            439 7030at5820           -            387  4.3e-243  804.8  15.5   1   2  1.2e-183  3.2e-181  601.1  10.1     1   281     1   298     1   301 0.97 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 7030at5820           -            387   1.6e-50  170.9   0.8   1   1   1.1e-52   2.8e-50  170.0   0.8    90   293   412   617   382   645 0.89 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 7030at5820           -            387   3.3e-49  166.5  15.9   1   2   3.1e-11   8.2e-09   33.6   5.1    72   294   177   400   159   419 0.67 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 7030at5820           -            387   3.3e-49  166.5  15.9   2   2   5.3e-43   1.4e-40  138.1   3.1    70   314   541   796   529   813 0.90 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 7030at5820           -            387     3e-42  143.6   0.3   1   2      0.91   2.4e+02   -0.9   0.4    60    75    24    40     2    89 0.57 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 7030at5820           -            387     3e-42  143.6   0.3   2   2     4e-44     1e-41  141.9   0.0    93   313   129   362   105   374 0.86 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466000.1-p1   -            424 7030at5820           -            387     4e-39  133.3   1.1   1   2       2.3   5.9e+02   -2.2   2.0    49    91    36    78    30    94 0.79 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466000.1-p1   -            424 7030at5820           -            387     4e-39  133.3   1.1   2   2   3.9e-41     1e-38  132.0   0.0   100   308   166   386   150   398 0.85 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 7030at5820           -            387   7.5e-38  129.2   0.1   1   2       4.8   1.3e+03   -3.3   0.7    60    71    18    29     2    58 0.47 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 7030at5820           -            387   7.5e-38  129.2   0.1   2   2   2.9e-40   7.5e-38  129.2   0.1    94   312   129   360   111   381 0.83 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808100.1-p1   -            447 7030at5820           -            387   1.2e-37  128.5   0.0   1   1     7e-40   1.8e-37  127.9   0.0   100   310   190   413   160   424 0.84 | transcript=PVP01_0808100.1 | gene=PVP01_0808100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=PvP01_08_v2:362144-363776(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412500.1-p1   -            420 7030at5820           -            387   5.7e-37  126.2   0.0   1   1   4.5e-39   1.2e-36  125.2   0.0    91   310   151   383   129   391 0.84 | transcript=PVP01_1412500.1 | gene=PVP01_1412500 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=PvP01_14_v2:550653-552145(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 7030at5820           -            387   4.9e-36  123.2   0.0   1   1   1.9e-38   4.9e-36  123.2   0.0    72   310   131   384   103   402 0.88 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 7030at5820           -            387   7.9e-36  122.5   0.1   1   2       3.1     8e+02   -2.6   0.5    66    86    43    63    20    83 0.62 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 7030at5820           -            387   7.9e-36  122.5   0.1   2   2     8e-38   2.1e-35  121.1   0.0    94   310   180   409   162   415 0.83 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7030at5820           -            387   4.2e-34  116.8   0.1   1   2       6.8   1.8e+03   -3.8   0.6    45    60    79    94    59   116 0.56 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7030at5820           -            387   4.2e-34  116.8   0.1   2   2   1.6e-36   4.2e-34  116.8   0.1    89   303   237   460   217   483 0.83 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 7030at5820           -            387   2.7e-31  107.6   0.0   1   1   2.1e-33   5.5e-31  106.6   0.0    96   304   396   623   369   646 0.83 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7030at5820           -            387   1.6e-25   88.5   5.1   1   2   9.9e-22   2.6e-19   68.1   0.2   134   310   288   489   230   530 0.74 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7030at5820           -            387   1.6e-25   88.5   5.1   2   2   1.1e-07   2.8e-05   21.9   0.7   126   268   561   705   553   726 0.80 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 7030at5820           -            387     1e-22   79.4   0.2   1   2   5.9e-21   1.5e-18   65.6   0.0   100   259   561   731   552   736 0.78 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 7030at5820           -            387     1e-22   79.4   0.2   2   2   0.00019      0.05   11.2   0.0   238   281   791   837   776   847 0.84 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 7030at5820           -            387     2e-14   52.0   0.0   1   2     0.047        12    3.3   0.0   278   306   552   580   531   587 0.80 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 7030at5820           -            387     2e-14   52.0   0.0   2   2   4.6e-15   1.2e-12   46.2   0.0   133   239   740   851   730   902 0.85 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 7030at5820           -            387   1.5e-13   49.1   2.0   1   1   8.6e-16   2.2e-13   48.6   2.0    75   284   279   515   243   533 0.68 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 7030at5820           -            387   6.2e-08   30.7   0.6   1   2       5.4   1.4e+03   -3.4   1.2    37    78    58    97    38   114 0.59 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 7030at5820           -            387   6.2e-08   30.7   0.6   2   2   2.4e-10   6.2e-08   30.7   0.6   132   280   340   495   292   529 0.73 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 7030at5820           -            387   2.8e-05   21.9   0.0   1   2   0.00011     0.029   12.0   0.0   121   171   239   290   190   314 0.82 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 7030at5820           -            387   2.8e-05   21.9   0.0   2   2    0.0025      0.64    7.6   0.0   225   295   369   444   345   454 0.74 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809400.1-p1   -            366 7030at5820           -            387   0.00066   17.4   0.0   1   1   3.7e-06   0.00096   16.9   0.0    75   149    91   164    82   180 0.92 | transcript=PVP01_0809400.1 | gene=PVP01_0809400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_08_v2:419025-420125(+) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906800.1-p1   -            475 7030at5820           -            387   0.00071   17.3   0.0   1   1     5e-06    0.0013   16.4   0.0   115   179    65   128    31   158 0.80 | transcript=PVP01_0906800.1 | gene=PVP01_0906800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=PvP01_09_v2:376371-377798(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525600.1-p1   -            218 7030at5820           -            387    0.0029   15.3   5.6   1   1   1.3e-05    0.0035   15.0   5.6    38    95    55   115    13   139 0.77 | transcript=PVP01_0525600.1 | gene=PVP01_0525600 | organism=Plasmodium_vivax_P01 | gene_product=PRKR-interacting protein 1, putative | transcript_product=PRKR-interacting protein 1, putative | location=PvP01_05_v2:1037727-1038383(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342100.1-p1   -           1226 7030at5820           -            387    0.0045   14.7  12.3   1   2   2.4e-05    0.0063   14.2   0.0   158   211   544   597   513   695 0.86 | transcript=PVP01_1342100.1 | gene=PVP01_1342100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=PvP01_13_v2:1847278-1850958(-) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342100.1-p1   -           1226 7030at5820           -            387    0.0045   14.7  12.3   2   2       4.7   1.2e+03   -3.2  10.1   105   206   841   951   789   959 0.59 | transcript=PVP01_1342100.1 | gene=PVP01_1342100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=PvP01_13_v2:1847278-1850958(-) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7030at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7030at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7030at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:37 2026
# [ok]
