#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8   1  18   1.7e-18   3.7e-15   52.7   0.0     1    63     1    70     1    77 0.92 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  12  18   3.8e-74   8.3e-71  237.3  10.6  1561  1740  2753  2952  2721  2970 0.78 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  13  18         3   6.5e+03  -10.6  11.1  1699  1745  3098  3149  3018  3164 0.71 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  14  18  7.8e-178  1.7e-174  581.2  54.3  1754  2082  3238  3576  3231  3579 0.97 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  15  18     0.011        24    0.2   0.1  2083  2105  3626  3648  3615  3650 0.87 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  16  18   1.9e-62   4.2e-59  198.4   5.4  2106  2231  3689  3815  3687  3819 0.97 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  17  18   1.4e-38   3.1e-35  119.3   0.3  2230  2310  3982  4082  3971  4085 0.84 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529300.1-p1   -           4374 338at5820            -           2515         0 3477.3 411.8  18  18  3.2e-147  6.9e-144  479.7  22.4  2296  2515  4150  4374  4136  4374 0.95 | transcript=PVP01_0529300.1 | gene=PVP01_0529300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=PvP01_05_v2:1206383-1220480(+) | protein_length=4374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024200.1-p1   -           1531 338at5820            -           2515   1.2e-31  107.4   3.6   1   2     0.013        27    0.0   0.0  2233  2280  1271  1318  1263  1322 0.88 | transcript=PVP01_1024200.1 | gene=PVP01_1024200 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase beta, putative | transcript_product=phosphatidylinositol 4-kinase beta, putative | location=PvP01_10_v2:1053244-1058467(-) | protein_length=1531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024200.1-p1   -           1531 338at5820            -           2515   1.2e-31  107.4   3.6   2   2   6.4e-34   1.4e-30  103.8   4.2  2313  2514  1324  1530  1319  1531 0.84 | transcript=PVP01_1024200.1 | gene=PVP01_1024200 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 4-kinase beta, putative | transcript_product=phosphatidylinositol 4-kinase beta, putative | location=PvP01_10_v2:1053244-1058467(-) | protein_length=1531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 338at5820            -           2515   1.9e-14   50.3   5.8   1   3      0.34   7.4e+02   -4.7  14.0   186   324   999  1141   976  1149 0.79 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 338at5820            -           2515   1.9e-14   50.3   5.8   2   3      0.11   2.4e+02   -3.1   4.3   410   465  1357  1414  1337  1440 0.55 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1018600.1-p1   -           1767 338at5820            -           2515   1.9e-14   50.3   5.8   3   3   8.8e-18   1.9e-14   50.3   5.8  2238  2497  1511  1749  1496  1761 0.80 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/338at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/338at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/338at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:40 2026
# [ok]
